individual_id,jar,species,treatment,week,final_length,initial_length,final_width,initial_width
1Bl,57,Olympia,7.7C,0,1.33,1.33,0.9,0.9
1Bl,57,Pacific,7.7C,0,0.9,0.9,0.6,0.6
1Bl,73,Olympia,8.0A0.2,0,1.12,1.12,0.85,0.85
1Bl,73,Pacific,8.0A0.2,0,1.26,1.26,0.84,0.84
1Bl,81,Olympia,8.0A0.2,0,1.4,1.4,0.99,0.99
1Bl,81,Pacific,8.0A0.2,0,1.17,1.17,0.93,0.93
1Gr,11,Olympia,7.7A0.5,0,1.83,1.83,1.37,1.37
1Gr,11,Pacific,7.7A0.5,0,1.29,1.29,1.07,1.07
1Gr,12,Olympia,7.7A0.2,0,1.82,1.82,1.45,1.45
1Gr,12,Pacific,7.7A0.2,0,1.03,1.03,0.77,0.77
1Gr,15,Olympia,8.0C,0,1.39,1.39,1.09,1.09
1Gr,15,Pacific,8.0C,0,1.08,1.08,0.9,0.9
1Gr,26,Olympia,7.7A0.2,0,1.28,1.28,1.01,1.01
1Gr,26,Pacific,7.7A0.2,0,0.82,0.82,0.64,0.64
1Gr,41,Olympia,7.7C,0,1.46,1.46,1.08,1.08
1Gr,41,Pacific,7.7C,0,0.99,0.99,0.7,0.7
1Gr,47,Olympia,7.7A0.5,0,1.67,1.67,1.49,1.49
1Gr,47,Pacific,7.7A0.5,0,1.15,1.15,0.76,0.76
1Gr,53,Olympia,8.0C,0,2.16,2.16,1.67,1.67
1Gr,57,Olympia,7.7C,0,1.12,1.12,0.88,0.88
1Gr,57,Pacific,7.7C,0,0.75,0.75,0.68,0.68
1Gr,73,Olympia,8.0A0.2,0,1,1,0.8,0.8
1Gr,73,Pacific,8.0A0.2,0,1.67,1.67,1.33,1.33
1Gr,81,Olympia,8.0A0.2,0,1.58,1.58,1.08,1.08
1Gr,81,Pacific,8.0A0.2,0,1.33,1.33,0.73,0.73
1Or,11,Olympia,7.7A0.5,0,1.25,1.25,0.94,0.94
1Or,11,Pacific,7.7A0.5,0,1.32,1.32,1.07,1.07
1Or,12,Olympia,7.7A0.2,0,1.45,1.45,1.14,1.14
1Or,12,Pacific,7.7A0.2,0,1.17,1.17,1.06,1.06
1Or,15,Olympia,8.0C,0,1.35,1.35,1.18,1.18
1Or,15,Pacific,8.0C,0,0.74,0.74,0.53,0.53
1Or,26,Olympia,7.7A0.2,0,1.37,1.37,1.08,1.08
1Or,26,Pacific,7.7A0.2,0,0.87,0.87,0.57,0.57
1Or,41,Olympia,7.7C,0,1.89,1.89,1.4,1.4
1Or,41,Pacific,7.7C,0,0.97,0.97,0.75,0.75
1Or,47,Olympia,7.7A0.5,0,1.91,1.91,1.41,1.41
1Or,47,Pacific,7.7A0.5,0,0.75,0.75,0.62,0.62
1Or,53,Olympia,8.0C,0,1.14,1.14,0.85,0.85
1Or,57,Olympia,7.7C,0,1.26,1.26,0.95,0.95
1Or,57,Pacific,7.7C,0,0.85,0.85,0.57,0.57
1Or,73,Olympia,8.0A0.2,0,1.29,1.29,0.96,0.96
1Or,73,Pacific,8.0A0.2,0,1.01,1.01,0.77,0.77
1Or,81,Olympia,8.0A0.2,0,1.6,1.6,1.19,1.19
1Or,81,Pacific,8.0A0.2,0,0.99,0.99,0.77,0.77
1Pk,11,Olympia,7.7A0.5,0,1.66,1.66,1.21,1.21
1Pk,11,Pacific,7.7A0.5,0,1.28,1.28,0.9,0.9
1Pk,12,Olympia,7.7A0.2,0,1.22,1.22,0.97,0.97
1Pk,12,Pacific,7.7A0.2,0,1.12,1.12,0.82,0.82
1Pk,15,Olympia,8.0C,0,1.25,1.25,1.01,1.01
1Pk,15,Pacific,8.0C,0,0.89,0.89,0.64,0.64
1Pk,26,Olympia,7.7A0.2,0,1.1,1.1,0.82,0.82
1Pk,26,Pacific,7.7A0.2,0,1.03,1.03,0.66,0.66
1Pk,41,Olympia,7.7C,0,1.41,1.41,0.99,0.99
1Pk,41,Pacific,7.7C,0,1.27,1.27,0.9,0.9
1Pk,47,Olympia,7.7A0.5,0,1.61,1.61,1.29,1.29
1Pk,47,Pacific,7.7A0.5,0,0.95,0.95,0.74,0.74
1Pk,53,Olympia,8.0C,0,1.62,1.62,1.2,1.2
1Pu,11,Olympia,7.7A0.5,0,1.28,1.28,0.98,0.98
1Pu,11,Pacific,7.7A0.5,0,1.3,1.3,0.83,0.83
1Pu,12,Olympia,7.7A0.2,0,1.18,1.18,0.91,0.91
1Pu,12,Pacific,7.7A0.2,0,1.04,1.04,0.92,0.92
1Pu,15,Olympia,8.0C,0,1.48,1.48,1.05,1.05
1Pu,15,Pacific,8.0C,0,0.94,0.94,0.73,0.73
1Pu,26,Olympia,7.7A0.2,0,1.06,1.06,0.82,0.82
1Pu,26,Pacific,7.7A0.2,0,1.13,1.13,0.79,0.79
1Pu,41,Olympia,7.7C,0,1.8,1.8,1.24,1.24
1Pu,41,Pacific,7.7C,0,1.23,1.23,0.72,0.72
1Pu,47,Olympia,7.7A0.5,0,1.37,1.37,1.01,1.01
1Pu,47,Pacific,7.7A0.5,0,0.79,0.79,0.6,0.6
1Pu,53,Olympia,8.0C,0,1.4,1.4,1.2,1.2
1Pu,53,Pacific,8.0C,0,0.84,0.84,0.72,0.72
1Pu,57,Olympia,7.7C,0,1.61,1.61,1.13,1.13
1Pu,57,Pacific,7.7C,0,0.89,0.89,0.75,0.75
1Pu,73,Olympia,8.0A0.2,0,1.17,1.17,1.12,1.12
1Pu,73,Pacific,8.0A0.2,0,1.51,1.51,1.26,1.26
1Pu,81,Olympia,8.0A0.2,0,1.49,1.49,1.28,1.28
1Pu,81,Pacific,8.0A0.2,0,1.13,1.13,0.81,0.81
1Rd,11,Olympia,7.7A0.5,0,1.62,1.62,1.03,1.03
1Rd,11,Pacific,7.7A0.5,0,1.43,1.43,1.2,1.2
1Rd,12,Olympia,7.7A0.2,0,1.56,1.56,1.28,1.28
1Rd,12,Pacific,7.7A0.2,0,1.26,1.26,0.98,0.98
1Rd,15,Olympia,8.0C,0,1.83,1.83,1.34,1.34
1Rd,15,Pacific,8.0C,0,1.11,1.11,0.68,0.68
1Rd,26,Olympia,7.7A0.2,0,1.32,1.32,1.19,1.19
1Rd,26,Pacific,7.7A0.2,0,1.04,1.04,0.83,0.83
1Rd,41,Olympia,7.7C,0,1.73,1.73,1.5,1.5
1Rd,41,Pacific,7.7C,0,0.95,0.95,0.6,0.6
1Rd,47,Olympia,7.7A0.5,0,1.56,1.56,1.18,1.18
1Rd,47,Pacific,7.7A0.5,0,0.81,0.81,0.78,0.78
1Rd,53,Olympia,8.0C,0,1.41,1.41,1.15,1.15
1Rd,53,Pacific,8.0C,0,0.91,0.91,0.7,0.7
1Rd,57,Olympia,7.7C,0,1.39,1.39,1.23,1.23
1Rd,57,Pacific,7.7C,0,0.92,0.92,0.57,0.57
1Rd,73,Olympia,8.0A0.2,0,1.35,1.35,0.98,0.98
1Rd,73,Pacific,8.0A0.2,0,0.8,0.8,0.63,0.63
1Rd,81,Olympia,8.0A0.2,0,1.49,1.49,1.16,1.16
1Rd,81,Pacific,8.0A0.2,0,1.23,1.23,0.79,0.79
1Si,53,Pacific,8.0C,0,0.95,0.95,0.58,0.58
1Si,57,Olympia,7.7C,0,1.46,1.46,1.22,1.22
1Si,57,Pacific,7.7C,0,0.87,0.87,0.53,0.53
1Si,73,Olympia,8.0A0.2,0,1.11,1.11,0.94,0.94
1Si,73,Pacific,8.0A0.2,0,1.17,1.17,0.94,0.94
1Si,81,Olympia,8.0A0.2,0,1.46,1.46,1.03,1.03
1Si,81,Pacific,8.0A0.2,0,1.14,1.14,0.82,0.82
1Wh,11,Olympia,7.7A0.5,0,1.85,1.85,1.29,1.29
1Wh,11,Pacific,7.7A0.5,0,1.79,1.79,1.21,1.21
1Wh,12,Olympia,7.7A0.2,0,1.41,1.41,1.08,1.08
1Wh,12,Pacific,7.7A0.2,0,1.16,1.16,0.83,0.83
1Wh,15,Olympia,8.0C,0,1.71,1.71,1.25,1.25
1Wh,15,Pacific,8.0C,0,1.01,1.01,0.63,0.63
1Wh,26,Olympia,7.7A0.2,0,1.24,1.24,0.89,0.89
1Wh,26,Pacific,7.7A0.2,0,1.51,1.51,1.06,1.06
1Wh,41,Olympia,7.7C,0,1.15,1.15,1.07,1.07
1Wh,41,Pacific,7.7C,0,1.07,1.07,0.69,0.69
1Wh,47,Olympia,7.7A0.5,0,1.7,1.7,1.59,1.59
1Wh,47,Pacific,7.7A0.5,0,1.07,1.07,0.74,0.74
1Wh,53,Olympia,8.0C,0,1.19,1.19,1.06,1.06
1Wh,53,Pacific,8.0C,0,1.59,1.59,0.89,0.89
1Wh,57,Olympia,7.7C,0,1.24,1.24,1.03,1.03
1Wh,57,Pacific,7.7C,0,1.3,1.3,0.83,0.83
1Wh,73,Olympia,8.0A0.2,0,1.03,1.03,0.79,0.79
1Wh,73,Pacific,8.0A0.2,0,1.56,1.56,1.13,1.13
1Wh,81,Olympia,8.0A0.2,0,1.33,1.33,0.94,0.94
1Wh,81,Pacific,8.0A0.2,0,1.4,1.4,0.98,0.98
2Bk,11,Olympia,7.7A0.5,0,1.73,1.73,1.21,1.21
2Bk,11,Pacific,7.7A0.5,0,1.46,1.46,1.16,1.16
2Bk,12,Olympia,7.7A0.2,0,1.83,1.83,1.51,1.51
2Bk,12,Pacific,7.7A0.2,0,2.16,2.16,1.28,1.28
2Bk,15,Olympia,8.0C,0,1.93,1.93,1.39,1.39
2Bk,15,Pacific,8.0C,0,1.63,1.63,0.98,0.98
2Bk,26,Olympia,7.7A0.2,0,1.5,1.5,0.98,0.98
2Bk,26,Pacific,7.7A0.2,0,1.51,1.51,1.06,1.06
2Bk,41,Olympia,7.7C,0,2.13,2.13,1.65,1.65
2Bk,41,Pacific,7.7C,0,1.38,1.38,1.06,1.06
2Bk,47,Olympia,7.7A0.5,0,1.45,1.45,1.33,1.33
2Bk,47,Pacific,7.7A0.5,0,1.58,1.58,1.18,1.18
2Bk,53,Olympia,8.0C,0,1.87,1.87,1.27,1.27
2Bl,11,Olympia,7.7A0.5,0,1.85,1.85,1.22,1.22
2Bl,11,Pacific,7.7A0.5,0,1.58,1.58,1.26,1.26
2Bl,12,Olympia,7.7A0.2,0,1.8,1.8,1.49,1.49
2Bl,12,Pacific,7.7A0.2,0,1.24,1.24,0.89,0.89
2Bl,15,Olympia,8.0C,0,1.49,1.49,1.36,1.36
2Bl,15,Pacific,8.0C,0,1.49,1.49,0.93,0.93
2Bl,26,Olympia,7.7A0.2,0,1.5,1.5,0.97,0.97
2Bl,26,Pacific,7.7A0.2,0,1,1,0.87,0.87
2Bl,41,Olympia,7.7C,0,1.76,1.76,1.24,1.24
2Bl,41,Pacific,7.7C,0,1.58,1.58,0.84,0.84
2Bl,47,Olympia,7.7A0.5,0,1.7,1.7,1.31,1.31
2Bl,47,Pacific,7.7A0.5,0,1.31,1.31,0.99,0.99
2Bl,53,Olympia,8.0C,0,1.74,1.74,1.4,1.4
2Bl,53,Pacific,8.0C,0,1.35,1.35,1.03,1.03
2Bl,57,Olympia,7.7C,0,1.54,1.54,1.14,1.14
2Bl,57,Pacific,7.7C,0,1.39,1.39,1,1
2Bl,73,Olympia,8.0A0.2,0,1.22,1.22,0.96,0.96
2Bl,73,Pacific,8.0A0.2,0,1.16,1.16,0.79,0.79
2Bl,81,Olympia,8.0A0.2,0,1.46,1.46,0.99,0.99
2Bl,81,Pacific,8.0A0.2,0,1.42,1.42,1.07,1.07
2Gr,11,Olympia,7.7A0.5,0,1.78,1.78,1.51,1.51
2Gr,11,Pacific,7.7A0.5,0,1.63,1.63,1.29,1.29
2Gr,12,Olympia,7.7A0.2,0,1.7,1.7,1.36,1.36
2Gr,12,Pacific,7.7A0.2,0,1.64,1.64,1.05,1.05
2Gr,15,Olympia,8.0C,0,1.53,1.53,1.35,1.35
2Gr,15,Pacific,8.0C,0,1.79,1.79,1.04,1.04
2Gr,26,Olympia,7.7A0.2,0,1.64,1.64,1.36,1.36
2Gr,26,Pacific,7.7A0.2,0,1.34,1.34,1.26,1.26
2Gr,41,Olympia,7.7C,0,1.74,1.74,1.31,1.31
2Gr,41,Pacific,7.7C,0,1.21,1.21,0.85,0.85
2Gr,47,Olympia,7.7A0.5,0,1.85,1.85,1.39,1.39
2Gr,47,Pacific,7.7A0.5,0,1.09,1.09,0.8,0.8
2Gr,53,Olympia,8.0C,0,1.9,1.9,1.69,1.69
2Gr,53,Pacific,8.0C,0,1.37,1.37,0.89,0.89
2Gr,57,Olympia,7.7C,0,1.33,1.33,0.99,0.99
2Gr,57,Pacific,7.7C,0,1.06,1.06,1.01,1.01
2Gr,73,Olympia,8.0A0.2,0,1.34,1.34,1.02,1.02
2Gr,73,Pacific,8.0A0.2,0,1.2,1.2,0.96,0.96
2Gr,81,Olympia,8.0A0.2,0,1.24,1.24,0.98,0.98
2Gr,81,Pacific,8.0A0.2,0,1.21,1.21,1.03,1.03
2Or,11,Olympia,7.7A0.5,0,1.28,1.28,1,1
2Or,11,Pacific,7.7A0.5,0,1.75,1.75,1.22,1.22
2Or,12,Olympia,7.7A0.2,0,1.98,1.98,1.75,1.75
2Or,12,Pacific,7.7A0.2,0,1.5,1.5,1.25,1.25
2Or,15,Olympia,8.0C,0,1.61,1.61,1.2,1.2
2Or,15,Pacific,8.0C,0,1.69,1.69,0.96,0.96
2Or,26,Olympia,7.7A0.2,0,1.47,1.47,1.25,1.25
2Or,26,Pacific,7.7A0.2,0,1.44,1.44,1.09,1.09
2Or,41,Olympia,7.7C,0,2.19,2.19,1.6,1.6
2Or,41,Pacific,7.7C,0,1.42,1.42,1.11,1.11
2Or,47,Olympia,7.7A0.5,0,1.84,1.84,1.56,1.56
2Or,47,Pacific,7.7A0.5,0,1.84,1.84,1.49,1.49
2Or,53,Olympia,8.0C,0,1.35,1.35,1,1
2Or,57,Olympia,7.7C,0,1.4,1.4,1.29,1.29
2Or,57,Pacific,7.7C,0,1.03,1.03,0.81,0.81
2Or,73,Olympia,8.0A0.2,0,1.24,1.24,0.97,0.97
2Or,73,Pacific,8.0A0.2,0,0.98,0.98,0.7,0.7
2Or,81,Olympia,8.0A0.2,0,1.39,1.39,0.9,0.9
2Or,81,Pacific,8.0A0.2,0,1.39,1.39,0.98,0.98
2Pk,11,Olympia,7.7A0.5,0,2.2,2.2,1.37,1.37
2Pk,11,Pacific,7.7A0.5,0,1.43,1.43,1.2,1.2
2Pk,12,Olympia,7.7A0.2,0,1.78,1.78,1.32,1.32
2Pk,12,Pacific,7.7A0.2,0,1.28,1.28,0.98,0.98
2Pk,15,Olympia,8.0C,0,1.5,1.5,1.22,1.22
2Pk,15,Pacific,8.0C,0,1.46,1.46,1.04,1.04
2Pk,26,Olympia,7.7A0.2,0,1.32,1.32,1.06,1.06
2Pk,26,Pacific,7.7A0.2,0,1.38,1.38,1.06,1.06
2Pk,41,Olympia,7.7C,0,1.96,1.96,1.44,1.44
2Pk,41,Pacific,7.7C,0,1.64,1.64,0.84,0.84
2Pk,47,Olympia,7.7A0.5,0,1.81,1.81,1.4,1.4
2Pk,47,Pacific,7.7A0.5,0,1.21,1.21,0.62,0.62
2Pk,53,Olympia,8.0C,0,1.56,1.56,1.29,1.29
2Pu,11,Olympia,7.7A0.5,0,1.74,1.74,1.33,1.33
2Pu,11,Pacific,7.7A0.5,0,1.53,1.53,0.97,0.97
2Pu,12,Olympia,7.7A0.2,0,1.35,1.35,1.14,1.14
2Pu,12,Pacific,7.7A0.2,0,1.42,1.42,1.08,1.08
2Pu,15,Olympia,8.0C,0,1.31,1.31,1.1,1.1
2Pu,15,Pacific,8.0C,0,1.52,1.52,1.03,1.03
2Pu,26,Olympia,7.7A0.2,0,1.6,1.6,1.22,1.22
2Pu,26,Pacific,7.7A0.2,0,1.32,1.32,1.08,1.08
2Pu,41,Olympia,7.7C,0,1.54,1.54,1.29,1.29
2Pu,41,Pacific,7.7C,0,1.43,1.43,0.86,0.86
2Pu,47,Olympia,7.7A0.5,0,1.79,1.79,1.4,1.4
2Pu,47,Pacific,7.7A0.5,0,1.46,1.46,0.99,0.99
2Pu,53,Olympia,8.0C,0,1.8,1.8,1.45,1.45
2Pu,53,Pacific,8.0C,0,1.84,1.84,0.75,0.75
2Pu,57,Olympia,7.7C,0,1.59,1.59,1.35,1.35
2Pu,57,Pacific,7.7C,0,1.4,1.4,0.99,0.99
2Pu,73,Olympia,8.0A0.2,0,1.23,1.23,1.03,1.03
2Pu,73,Pacific,8.0A0.2,0,1.4,1.4,1.1,1.1
2Pu,81,Olympia,8.0A0.2,0,1.25,1.25,0.95,0.95
2Pu,81,Pacific,8.0A0.2,0,1.58,1.58,1.14,1.14
2Rd,11,Olympia,7.7A0.5,0,1.43,1.43,1.14,1.14
2Rd,11,Pacific,7.7A0.5,0,1.52,1.52,1.02,1.02
2Rd,12,Olympia,7.7A0.2,0,1.55,1.55,1.31,1.31
2Rd,12,Pacific,7.7A0.2,0,1.56,1.56,1.24,1.24
2Rd,15,Olympia,8.0C,0,1.71,1.71,1.3,1.3
2Rd,15,Pacific,8.0C,0,1.04,1.04,0.8,0.8
2Rd,26,Olympia,7.7A0.2,0,1.67,1.67,1.22,1.22
2Rd,26,Pacific,7.7A0.2,0,0.87,0.87,0.57,0.57
2Rd,41,Olympia,7.7C,0,1.82,1.82,1.58,1.58
2Rd,41,Pacific,7.7C,0,1.59,1.59,1.06,1.06
2Rd,47,Olympia,7.7A0.5,0,1.93,1.93,1.57,1.57
2Rd,47,Pacific,7.7A0.5,0,1.81,1.81,1.46,1.46
2Rd,53,Olympia,8.0C,0,1.26,1.26,0.99,0.99
2Rd,53,Pacific,8.0C,0,1.29,1.29,0.87,0.87
2Rd,57,Olympia,7.7C,0,1.48,1.48,1.05,1.05
2Rd,57,Pacific,7.7C,0,1.32,1.32,0.93,0.93
2Rd,73,Olympia,8.0A0.2,0,1.13,1.13,1.04,1.04
2Rd,73,Pacific,8.0A0.2,0,1.9,1.9,1.32,1.32
2Rd,81,Olympia,8.0A0.2,0,1.07,1.07,0.92,0.92
2Rd,81,Pacific,8.0A0.2,0,1.19,1.19,0.71,0.71
2Si,57,Olympia,7.7C,0,1.73,1.73,1.16,1.16
2Si,57,Pacific,7.7C,0,1.68,1.68,1.27,1.27
2Si,73,Olympia,8.0A0.2,0,1.18,1.18,0.88,0.88
2Si,73,Pacific,8.0A0.2,0,1.46,1.46,0.94,0.94
2Si,81,Olympia,8.0A0.2,0,2,2,1.48,1.48
2Si,81,Pacific,8.0A0.2,0,1.13,1.13,0.87,0.87
2Wh,11,Olympia,7.7A0.5,0,1.62,1.62,1.19,1.19
2Wh,11,Pacific,7.7A0.5,0,2.07,2.07,1.34,1.34
2Wh,12,Olympia,7.7A0.2,0,1.76,1.76,1.38,1.38
2Wh,12,Pacific,7.7A0.2,0,1.65,1.65,1.17,1.17
2Wh,15,Olympia,8.0C,0,1.73,1.73,1.7,1.7
2Wh,15,Pacific,8.0C,0,1.22,1.22,0.87,0.87
2Wh,26,Olympia,7.7A0.2,0,1.56,1.56,1.21,1.21
2Wh,26,Pacific,7.7A0.2,0,1.56,1.56,1.15,1.15
2Wh,41,Olympia,7.7C,0,1.99,1.99,1.56,1.56
2Wh,41,Pacific,7.7C,0,1.22,1.22,0.83,0.83
2Wh,47,Olympia,7.7A0.5,0,1.55,1.55,1.09,1.09
2Wh,47,Pacific,7.7A0.5,0,1.52,1.52,1.33,1.33
2Wh,53,Olympia,8.0C,0,1.24,1.24,1,1
2Wh,53,Pacific,8.0C,0,1.39,1.39,1.29,1.29
2Wh,57,Olympia,7.7C,0,1.46,1.46,1.2,1.2
2Wh,57,Pacific,7.7C,0,1.51,1.51,1.01,1.01
2Wh,73,Olympia,8.0A0.2,0,1.36,1.36,1.2,1.2
2Wh,73,Pacific,8.0A0.2,0,1.85,1.85,1.21,1.21
2Wh,81,Olympia,8.0A0.2,0,1.32,1.32,0.89,0.89
2Wh,81,Pacific,8.0A0.2,0,1.73,1.73,1.01,1.01
3Bl,11,Olympia,7.7A0.5,0,2.15,2.15,1.64,1.64
3Bl,11,Pacific,7.7A0.5,0,1.88,1.88,1.36,1.36
3Bl,12,Olympia,7.7A0.2,0,2.14,2.14,1.85,1.85
3Bl,12,Pacific,7.7A0.2,0,1.69,1.69,1.05,1.05
3Bl,15,Olympia,8.0C,0,1.62,1.62,1.24,1.24
3Bl,15,Pacific,8.0C,0,1.86,1.86,1.37,1.37
3Bl,26,Olympia,7.7A0.2,0,1.76,1.76,1.31,1.31
3Bl,26,Pacific,7.7A0.2,0,1.84,1.84,1.19,1.19
3Bl,41,Olympia,7.7C,0,2.02,2.02,1.64,1.64
3Bl,41,Pacific,7.7C,0,1.83,1.83,0.88,0.88
3Bl,47,Olympia,7.7A0.5,0,1.87,1.87,1.51,1.51
3Bl,47,Pacific,7.7A0.5,0,1.43,1.43,1.08,1.08
3Bl,53,Olympia,8.0C,0,1.83,1.83,1.43,1.43
3Bl,53,Pacific,8.0C,0,1.62,1.62,1.21,1.21
3Bl,57,Olympia,7.7C,0,1.46,1.46,1.16,1.16
3Bl,57,Pacific,7.7C,0,1.67,1.67,1.54,1.54
3Bl,73,Olympia,8.0A0.2,0,1.61,1.61,1.13,1.13
3Bl,73,Pacific,8.0A0.2,0,1.65,1.65,1.2,1.2
3Bl,81,Olympia,8.0A0.2,0,1.2,1.2,1,1
3Bl,81,Pacific,8.0A0.2,0,1.76,1.76,1.33,1.33
3Gr,11,Olympia,7.7A0.5,0,1.82,1.82,1.4,1.4
3Gr,11,Pacific,7.7A0.5,0,1.87,1.87,1.43,1.43
3Gr,12,Olympia,7.7A0.2,0,1.75,1.75,1.62,1.62
3Gr,12,Pacific,7.7A0.2,0,1.98,1.98,1.4,1.4
3Gr,15,Olympia,8.0C,0,1.83,1.83,1.53,1.53
3Gr,15,Pacific,8.0C,0,1.68,1.68,1.13,1.13
3Gr,26,Olympia,7.7A0.2,0,2.42,2.42,1.65,1.65
3Gr,26,Pacific,7.7A0.2,0,1.46,1.46,1.11,1.11
3Gr,41,Olympia,7.7C,0,1.93,1.93,1.71,1.71
3Gr,41,Pacific,7.7C,0,1.32,1.32,0.82,0.82
3Gr,47,Olympia,7.7A0.5,0,1.79,1.79,1.53,1.53
3Gr,47,Pacific,7.7A0.5,0,1.59,1.59,0.93,0.93
3Gr,53,Olympia,8.0C,0,1.99,1.99,1.48,1.48
3Gr,53,Pacific,8.0C,0,1.86,1.86,1.28,1.28
3Gr,57,Olympia,7.7C,0,1.53,1.53,1.11,1.11
3Gr,57,Pacific,7.7C,0,1.53,1.53,0.96,0.96
3Gr,73,Olympia,8.0A0.2,0,1.48,1.48,1.26,1.26
3Gr,73,Pacific,8.0A0.2,0,0.89,0.89,0.72,0.72
3Gr,81,Olympia,8.0A0.2,0,1.09,1.09,0.93,0.93
3Gr,81,Pacific,8.0A0.2,0,2,2,1.36,1.36
3Or,53,Pacific,8.0C,0,1.64,1.64,1.1,1.1
3Or,57,Olympia,7.7C,0,1.61,1.61,1.11,1.11
3Or,57,Pacific,7.7C,0,1.67,1.67,1.28,1.28
3Or,73,Olympia,8.0A0.2,0,1.4,1.4,1.24,1.24
3Or,73,Pacific,8.0A0.2,0,1.36,1.36,1.27,1.27
3Or,81,Olympia,8.0A0.2,0,1.06,1.06,0.89,0.89
3Or,81,Pacific,8.0A0.2,0,1.72,1.72,1.41,1.41
3Pk,11,Olympia,7.7A0.5,0,1.7,1.7,1.42,1.42
3Pk,11,Pacific,7.7A0.5,0,2.07,2.07,1.5,1.5
3Pk,12,Olympia,7.7A0.2,0,1.74,1.74,1.29,1.29
3Pk,12,Pacific,7.7A0.2,0,1.77,1.77,1.18,1.18
3Pk,15,Olympia,8.0C,0,1.84,1.84,1.49,1.49
3Pk,15,Pacific,8.0C,0,1.67,1.67,1.34,1.34
3Pk,26,Olympia,7.7A0.2,0,2.17,2.17,1.89,1.89
3Pk,26,Pacific,7.7A0.2,0,1.78,1.78,1.41,1.41
3Pk,41,Olympia,7.7C,0,2.09,2.09,1.51,1.51
3Pk,41,Pacific,7.7C,0,1.65,1.65,1.01,1.01
3Pk,47,Olympia,7.7A0.5,0,2.02,2.02,1.43,1.43
3Pk,47,Pacific,7.7A0.5,0,1.64,1.64,1.28,1.28
3Pk,53,Olympia,8.0C,0,1.77,1.77,1.49,1.49
3Pu,11,Olympia,7.7A0.5,0,1.76,1.76,1.45,1.45
3Pu,11,Pacific,7.7A0.5,0,2.05,2.05,1.15,1.15
3Pu,12,Olympia,7.7A0.2,0,1.97,1.97,1.57,1.57
3Pu,12,Pacific,7.7A0.2,0,1.6,1.6,1,1
3Pu,15,Olympia,8.0C,0,1.69,1.69,1.57,1.57
3Pu,15,Pacific,8.0C,0,1.83,1.83,1.34,1.34
3Pu,26,Olympia,7.7A0.2,0,1.69,1.69,1.4,1.4
3Pu,26,Pacific,7.7A0.2,0,2.17,2.17,1.64,1.64
3Pu,41,Olympia,7.7C,0,2.06,2.06,1.61,1.61
3Pu,41,Pacific,7.7C,0,1.43,1.43,0.92,0.92
3Pu,47,Olympia,7.7A0.5,0,1.81,1.81,1.29,1.29
3Pu,47,Pacific,7.7A0.5,0,1.35,1.35,1.13,1.13
3Pu,53,Olympia,8.0C,0,2.04,2.04,1.47,1.47
3Pu,57,Olympia,7.7C,0,2.17,2.17,2.04,2.04
3Pu,57,Pacific,7.7C,0,1.7,1.7,1.14,1.14
3Pu,73,Olympia,8.0A0.2,0,1.56,1.56,1.33,1.33
3Pu,73,Pacific,8.0A0.2,0,1.19,1.19,1.02,1.02
3Pu,81,Olympia,8.0A0.2,0,1.44,1.44,1.06,1.06
3Pu,81,Pacific,8.0A0.2,0,1.8,1.8,1.08,1.08
