,image_id_initial,image_id_final,jar,week,species,treatment,replicate,individual_id,surface_area_cm2_initial,surface_area_cm2_final,length_cm_initial,length_cm_final,length_pixels_initial,length_pixels_final,surface_area_px2_initial,surface_area_px2_final,width_cm_initial,width_cm_final,width_pixels_initial,width_pixels_final,pixels_per_cm_initial,pixels_per_cm_final,pixels2_per_cm2_initial,pixels2_per_cm2_final,notes_initial,notes_final
34,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,1Wh,1.45,1.45,1.8,1.83,149.62,142.61,9960.5,8822.5,1.19,1.19,98.79,93.01,83,78,6889,6084,,
35,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,1Rd,2.21,2.67,2.17,2.22,179.87,173.44,15202,16242,1.65,1.89,137.28,147.53,83,78,6889,6084,,
36,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,1Pu,1.93,1.93,2.04,2.1,169.53,164,13291.5,11736,1.48,1.38,123,107.97,83,78,6889,6084,,
37,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,1Pk,1.62,1.8,1.91,1.98,158.15,154.35,11154.5,10973,1.34,1.38,111.09,107.34,83,78,6889,6084,,
38,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,1Or,1.51,1.6,1.83,1.8,152.12,140.01,10417.5,9754.5,1.2,1.31,99.62,102.4,83,78,6889,6084,,
39,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,1Gr,1.56,1.59,1.89,1.89,156.54,147.05,10720,9659.5,1.27,1.3,105.7,101.32,83,78,6889,6084,,
40,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,1Bl,1.45,1.68,1.58,1.8,130.86,140.43,9976.5,10230.5,1.32,1.38,109.71,107.67,83,78,6889,6084,,used initial image to identify
41,IMG_9818-resized,2019_08_08_0056-resized,1,2,Pacific,7.7A0.2,5,1Bk,1.76,1.72,1.92,1.89,159.77,147.41,12123,10445,1.46,1.45,120.88,112.81,83,78,6889,6084,,used initial image to identify
42,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,3Pu,1.76,1.67,1.76,1.67,139.27,133.79,10999,10697.5,1.42,1.45,112,115.97,79,80,6241,6400,,
43,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,3Pk,1.76,1.79,1.84,1.85,145.13,148.19,11014,11467,1.33,1.39,105.22,111.22,79,80,6241,6400,,
44,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,3Gr,2.36,2.58,2.07,2.12,163.42,169.59,14752.5,16493,1.68,1.66,132.91,133.15,79,80,6241,6400,,
45,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,3Bl,1.83,1.87,1.89,1.92,149.65,153.81,11445,11992,1.4,1.38,110.37,110,79,80,6241,6400,Surface area innaccurate due to overlapping,
46,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,2Wh,1.08,1.21,1.43,1.44,112.93,115.32,6747.5,7721,1.08,1.19,85.21,95.19,79,80,6241,6400,Surface area innaccurate due to overlapping,
47,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,2Rd,1.82,1.85,1.74,1.76,137.09,141.06,11374,11838,1.48,1.48,117,118.36,79,80,6241,6400,,
48,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,2Pu,1.49,1.47,1.59,1.6,125.54,128.02,9321.5,9411,1.33,1.3,105.11,104.01,79,80,6241,6400,,
49,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,2Pk,1.31,1.35,1.53,1.53,120.51,122.58,8153,8647,1.21,1.23,95.57,98.31,79,80,6241,6400,Surface area innaccurate due to overlapping,
50,IMG_9817-resized,2019_08_08_0081-resized,2,2,Olympia,8.0C,4,2Or,2.58,2.61,2.22,2.23,175.6,180.94,16105.5,17106.5,1.62,1.63,128.14,132,79,81,6241,6561,,
51,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,2Gr,2.2,2.39,2.07,2.15,163.45,172.24,13740,15296,1.63,1.65,128.83,131.73,79,80,6241,6400,,
52,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,2Bl,1.2,1.26,1.56,1.6,123.11,127.78,7467,8075.5,1.08,1.19,85.56,94.92,79,80,6241,6400,,
53,IMG_9817-resized,2019_08_08_0081-resized,2,2,Olympia,8.0C,4,2Bk,3.02,3,2.29,2.17,181,175.89,18820,19663.5,1.9,2.06,150.12,167.06,79,81,6241,6561,,used initial image to identify
54,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,1Wh,1.46,1.48,1.49,1.51,117.35,120.49,9109.5,9478,1.31,1.4,103.81,112.09,79,80,6241,6400,,
55,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,1Rd,0.72,0.73,1.11,1.1,87.97,88.2,4524,4680.5,0.92,0.94,72.78,75.29,79,80,6241,6400,,
56,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,1Pu,NA,0.84,NA,1.27,NA,101.98,NA,5363,NA,0.92,NA,73.68,NA,80,NA,6400,oyster missing from initial image,
57,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,1Pu,NA,0.18,NA,0.68,NA,54.13,NA,1129.5,NA,0.49,NA,38.95,NA,80,NA,6400,oyster missing from initial image,oyster missing from final image
58,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,1Pk,0.6,0.62,0.99,1.01,77.88,81.15,3725.5,3946,0.84,0.85,66.75,68.15,79,80,6241,6400,,
59,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,1Or,2.02,2.05,1.82,1.84,143.56,147.25,12635.5,13116,1.61,1.64,127.14,130.82,79,80,6241,6400,,
60,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,1Gr,0.93,0.93,1.31,1.33,103.47,106.4,5818,5939.5,1.02,0.97,80.65,77.23,79,80,6241,6400,,
61,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,1Bl,0.99,0.99,1.36,1.36,107.7,108.93,6190.5,6310.5,0.99,0.99,78.24,79.08,79,80,6241,6400,,
62,IMG_9817-resized,2019_08_08_0072-resized,2,2,Olympia,8.0C,4,1Bk,2.22,2.28,1.89,1.91,148.95,153.12,13846,14566.5,1.56,1.59,123.49,127.57,79,80,6241,6400,,
63,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,3Pu,0.73,0.74,1.22,1.22,101.24,99.02,5046.5,4871,0.89,0.94,73.68,76.24,83,81,6889,6561,,
64,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,3Pk,1.02,0.93,1.27,1.29,105.54,104.55,7041,6115.5,1.07,1.02,88.65,82.28,83,81,6889,6561,,used initial image to identify
65,IMG_9823-resized,2019_08_08_0078-resized,2,2,Pacific,8.0C,4,3Gr,1.05,1.05,1.66,1.65,137.64,133.38,7249.5,6888.5,0.9,0.89,74.63,72.17,83,81,6889,6561,,used initial image to identify
66,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,3Bl,1.06,1,1.42,1.39,117.48,112.41,7326,6545,1.11,1.08,91.92,87.46,83,81,6889,6561,,used initial image to identify
67,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,2Wh,0.74,0.7,1.38,1.24,114.23,100.26,5104,4602.5,0.81,0.99,67.62,79.98,83,81,6889,6561,,used initial image to identify
68,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,2Rd,0.64,0.62,1.09,1.08,90.44,87.13,4410.5,4059.5,0.76,0.76,62.68,61.61,83,81,6889,6561,,
69,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,2Pu,0.51,0.49,1.15,1.12,95.27,91.02,3527.5,3214.5,0.69,0.69,57.01,56.04,83,81,6889,6561,,
70,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,2Pk,0.82,0.86,1.29,1.36,106.68,110,5629.5,5652,1.06,0.94,87.82,76.4,83,81,6889,6561,,
71,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,2Or,0.73,0.72,1.23,1.28,101.92,103.85,5049.5,4743.5,0.79,0.81,65.8,65.46,83,81,6889,6561,,
72,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,2Gr,1.9,1.84,2.16,2.24,179.3,181.73,13105.5,12096.5,1.24,1.21,103.25,97.84,83,81,6889,6561,,used initial image to identify
73,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,2Bl,1.03,1,1.29,1.29,107.22,104.65,7112,6566.5,1.18,1.11,98.23,89.96,83,81,6889,6561,,used initial image to identify
74,IMG_9823-resized,2019_08_08_0078-resized,2,2,Pacific,8.0C,4,2Bk,1.25,1.78,1.84,2.04,152.63,165.3,8637,11655,0.99,1.52,82.01,123.07,83,81,6889,6561,,used initial image to identify
75,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,1Wh,0.51,0.52,1.11,1.13,92.28,91.24,3507.5,3382,0.65,0.67,53.54,53.91,83,81,6889,6561,,used initial image to identify
76,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,1Rd,1.52,1.48,1.9,1.86,157.51,150.63,10452.5,9683,1.3,1.26,107.94,101.87,83,81,6889,6561,,used initial image to identify
77,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,1Pu,0.98,0.91,1.44,1.38,119.77,111.66,6738,5999,0.98,0.97,80.96,78.39,83,81,6889,6561,,
78,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,1Pk,0.82,0.78,1.43,1.4,118.34,113.37,5634.5,5145.5,0.91,0.87,75.47,70.72,83,81,6889,6561,,used initial image to identify
79,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,1Or,1.58,1.58,1.63,1.63,135.43,131.8,10892.5,10386.5,1.41,1.32,116.83,107.06,83,81,6889,6561,,used initial image to identify
80,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,1Gr,0.88,0.84,1.42,1.41,118.23,114.35,6090.5,5531.5,1,0.97,82.88,78.64,83,81,6889,6561,,
81,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,1Bl,1.63,1.58,1.96,1.91,162.8,154.74,11260,10382,1.27,1.27,105.68,102.49,83,81,6889,6561,,used initial image to identify
82,IMG_9823-resized,2019_08_08_0071-resized,2,2,Pacific,8.0C,4,1Bk,1.02,1,1.48,1.43,122.54,115.6,7011.5,6574,1.04,1.06,86.54,85.87,83,81,6889,6561,,used initial image to identify
83,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,3Pu,2.37,2.37,2.19,2.19,179.45,184.23,15906,16729,1.52,1.55,124.63,129.85,82,84,6724,7056,,
84,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,3Pk,3.19,3.5,2.39,2.54,196.12,213.47,21430.5,24690.5,2,2.09,164.01,175.18,82,84,6724,7056,Surface area innaccurate due to overlapping,used initial image to identify
85,IMG_9819-resized,2019_08_09_0146-resized,3,2,Olympia,8.0A0.2,2,3Gr,2.53,2.52,2.37,2.39,194.52,200.38,16997.5,17750,1.52,1.52,124.45,127.78,82,84,6724,7056,,
86,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,3Bl,2.19,2.18,2.01,1.98,164.66,166.03,14754,15403.5,1.54,1.55,126.21,130.08,82,84,6724,7056,,used initial image to identify
87,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,2Wh,1.46,1.5,1.66,1.78,136.12,149.46,9819,10559.5,1.35,1.4,110.42,117.89,82,84,6724,7056,new growth erased by computer,
88,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,2Rd,2.02,2.07,1.88,1.93,154.56,162.02,13569.5,14574,1.5,1.48,123.08,124.45,82,84,6724,7056,Surface area innaccurate due to overlapping,
89,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,2Pu,2.06,2.06,2.09,2.06,171.56,172.81,13836.5,14545.5,1.48,1.45,121.51,121.84,82,84,6724,7056,,
90,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,2Pk,1.68,1.81,1.84,1.85,151.03,155.36,11316,12757.5,1.38,1.4,113.16,117.32,82,84,6724,7056,,used initial image to identify
91,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,2Or,1.8,1.8,1.78,1.79,145.91,150.27,12119.5,12699,1.45,1.6,118.8,134.46,82,84,6724,7056,,
92,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,2Gr,1.29,NA,1.4,NA,114.98,NA,8648,NA,1.22,NA,99.81,NA,82,NA,6724,NA,,computer failed to measure
93,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,2Bl,1.62,1.59,1.81,1.77,148.64,148.71,10921.5,11206,1.27,1.29,103.82,108.34,82,84,6724,7056,,
94,IMG_9819-resized,2019_08_09_0146-resized,3,2,Olympia,8.0A0.2,2,2Bk,2.19,2.21,2.12,2.14,174.07,180,14699,15625,1.52,1.53,125.02,128.6,82,84,6724,7056,,
95,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,1Wh,1.18,NA,1.5,NA,123,NA,7919,NA,1.12,NA,92.11,NA,82,NA,6724,NA,,computer failed to measure
96,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,1Rd,2.12,2.11,2.09,2.13,171.33,179.18,14252,14867,1.42,1.43,116.69,119.82,82,84,6724,7056,,used initial image to identify
97,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,1Pu,0.92,1.06,1.41,1.38,115.45,116.09,6192.5,7476,1.05,1.03,86.41,86.38,82,84,6724,7056,Surface area innaccurate due to overlapping,
98,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,1Pk,0.82,0.79,1.22,1.17,100.32,98.41,5513.5,5583.5,0.9,0.88,74.01,74.32,82,84,6724,7056,,
99,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,1Or,1.48,1.67,1.63,1.69,133.51,142.14,9959.5,11814.5,1.26,1.4,103.39,117.52,82,84,6724,7056,,
100,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,1Gr,1.86,1.86,1.86,1.91,152.76,160.8,12489.5,13127,1.4,1.39,115.16,116.4,82,84,6724,7056,,
101,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,1Bl,0.99,1.01,1.34,1.35,109.93,113.81,6661.5,7124.5,1.03,1.05,84.1,88.2,82,84,6724,7056,,
102,IMG_9819-resized,2019_08_09_0126-resized,3,2,Olympia,8.0A0.2,2,1Bk,0.94,1,1.28,1.28,105.08,107.17,6291,7072.5,1.14,1.14,93.39,95.8,82,84,6724,7056,Surface area innaccurate due to overlapping,used initial image to identify
103,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,3Pu,0.74,0.7,1.33,1.29,110.22,108.07,5076,4947.5,0.83,0.83,69.18,69.66,83,84,6889,7056,,
104,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,3Pk,1.33,1.43,1.63,1.67,135,140.12,9170.5,10108.5,1.15,1.3,95.27,109.56,83,84,6889,7056,,used initial image to identify
105,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,3Gr,1.62,1.62,1.95,1.91,161.45,160.58,11148.5,11415,1.26,1.23,104.24,103.08,83,84,6889,7056,,
106,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,3Bl,0.7,0.79,1.23,1.31,102.16,109.81,4814,5557.5,0.82,0.92,68.45,77.23,83,84,6889,7056,,
107,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,2Wh,1.66,1.77,1.91,2,158.78,168.12,11424.5,12454,1.29,1.29,106.94,108.52,83,84,6889,7056,,
108,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,2Rd,2.18,2.49,2.34,2.45,193.83,205.42,15042.5,17544,1.42,1.58,117.59,132.61,83,84,6889,7056,,
109,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,2Pu,1.37,1.42,1.68,1.68,139.23,141.24,9458,10032,1.23,1.18,102.18,98.74,83,84,6889,7056,,used initial image to identify
110,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,2Pk,1.39,1.49,1.62,1.58,134.41,133.09,9559.5,10540,1.37,1.42,113.55,119.05,83,84,6889,7056,,
111,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,2Or,1.09,1.08,1.48,1.43,123.1,119.85,7521,7600,1.11,1.13,92.14,94.92,83,84,6889,7056,,
112,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,2Gr,1.43,1.47,1.56,1.63,129.26,137.3,9866,10354.5,1.36,1.35,113.28,113.74,83,84,6889,7056,,
113,IMG_9825-resized,2019_08_09_0137-resized,3,2,Pacific,8.0A0.2,2,2Bl,2.01,2.11,2.05,1.99,170.34,166.86,13850.5,14878.5,1.54,1.59,127.63,133.84,83,84,6889,7056,,
114,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,2Bk,1.22,1.26,1.61,1.6,133.45,134.47,8409,8864,1.1,1.12,91.02,93.72,83,84,6889,7056,,
115,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,1Wh,1.11,1.24,1.62,1.79,134.62,150.56,7654,8737,1.06,1.13,87.8,95.26,83,84,6889,7056,,used initial image to identify
116,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,1Rd,1.27,NA,1.8,NA,149.38,NA,8722,NA,1.02,NA,84.88,NA,83,NA,6889,NA,,computer failed to measure
117,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,1Pu,1.61,1.69,1.91,2.03,158.78,170.14,11064,11925.5,1.29,1.2,106.78,100.5,83,84,6889,7056,,used initial image to identify
118,IMG_9825-resized,2019_08_09_0144-resized,3,2,Pacific,8.0A0.2,2,1Pk,1.73,1.66,2.06,2.1,171.24,178.71,11903,12021,1.35,1.29,111.76,109.77,83,85,6889,7225,,
119,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,1Or,1,0.94,1.41,1.36,116.97,114.59,6869.5,6663,1.09,1.09,90.2,91.55,83,84,6889,7056,,
120,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,1Gr,1.41,1.86,1.63,1.72,135.6,144.84,9691,13094,1.15,1.52,95.41,127.35,83,84,6889,7056,,
121,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,1Bl,1.11,NA,1.63,NA,135.52,NA,7672.5,NA,0.94,NA,78,NA,83,NA,6889,NA,,computer failed to measure
122,IMG_9825-resized,2019_08_09_0124-resized,3,2,Pacific,8.0A0.2,2,1Bk,1.19,1.21,1.47,1.46,122.02,122.58,8208.5,8526.5,1.1,1.21,91.24,101.6,83,84,6889,7056,,
123,IMG_9820-resized,IMG_0002-resized,4,4,Olympia,8.0A0.2,1,3Pu,1.59,1.59,1.82,1.79,153.21,103.83,11214,5365,1.27,1.26,107.02,72.92,84,58,7056,3364,,
