Jar,Species,Number,Individual.ID,Initial_wetweight,Date,Treatment,Week,Whole.Organism.Weight,Shell.Weight,Tissue.Weight,Respiration,Feeding.calcification,Dead
2,Pacific,1,1Gr,0.21,8/8/2019,8.0C,2,NA,0.155,0.028,,,
2,Olympia,5,1Or,0.725,8/8/2019,8.0C,2,NA,0.589,0.1096,,,
2,Pacific,5,1Or,0.41,8/8/2019,8.0C,2,NA,0.336,0.086,,,
2,Olympia,2,1Pk,0.108,8/8/2019,8.0C,2,NA,NA,NA,,,X
2,Pacific,2,1Pk,0.16,8/8/2019,8.0C,2,NA,0.131,0.034,,,
2,Olympia,3,1Pu,0.195,8/8/2019,8.0C,2,NA,0.1531,0.0307,,,
2,Pacific,3,1Pu,0.24,8/8/2019,8.0C,2,NA,0.172,0.039,,,
2,Pacific,7,1Rd,0.44,8/8/2019,8.0C,2,NA,0.319,0.078,,,
2,Olympia,7,1Rd,0.208,8/8/2019,8.0C,2,NA,0.183,0.038,,,
2,Olympia,8,1Wh,0.383,8/8/2019,8.0C,2,NA,0.309,0.048,,,
2,Pacific,8,1Wh,0.09,8/8/2019,8.0C,2,NA,0.0722,0.0178,,,
2,Olympia,14,2Bk,1.159,8/8/2019,8.0C,2,NA,0.962,0.235,X,,
2,Pacific,14,2Bk,0.44,8/8/2019,8.0C,2,NA,0.363,0.12,X,,
2,Olympia,12,2Bl,0.447,8/8/2019,8.0C,2,NA,0.356,0.073,,,
2,Pacific,12,2Bl,0.22,8/8/2019,8.0C,2,NA,0.1842,0.0483,,,
2,Olympia,9,2Gr,0.825,8/8/2019,8.0C,2,NA,0.653,0.16,,,
2,Pacific,9,2Gr,0.5,8/8/2019,8.0C,2,NA,0.4044,0.0948,,,
2,Olympia,13,2Or,0.873,8/8/2019,8.0C,2,NA,0.751,0.129,X,,
2,Pacific,13,2Or,0.14,8/8/2019,8.0C,2,NA,0.1228,0.033,,,
2,Olympia,10,2Pk,0.331,8/8/2019,8.0C,2,NA,0.276,0.046,,,
2,Pacific,10,2Pk,0.17,8/8/2019,8.0C,2,NA,0.168,0.033,,,
2,Olympia,11,2Pu,0.528,8/8/2019,8.0C,2,NA,0.427,0.071,,,
2,Pacific,3,2Pu,0.11,8/8/2019,8.0C,2,NA,0.081,0.019,,,
2,Olympia,15,2Rd,0.59,8/8/2019,8.0C,2,NA,0.4689,0.0782,,,
2,Olympia,16,2Wh,0.3,8/8/2019,8.0C,2,NA,0.244,0.055,,,
2,Pacific,16,2Wh,0.19,8/8/2019,8.0C,2,NA,0.107,0.026,,,
2,Olympia,20,3Bl,0.68,8/8/2019,8.0C,2,NA,0.5077,0.1097,,,
2,Pacific,20,3Bl,0.22,8/8/2019,8.0C,2,NA,0.184,0.039,,,
2,Olympia,17,3Gr,0.901,8/8/2019,8.0C,2,NA,0.7242,0.1478,,,
2,Pacific,17,3Gr,0.27,8/8/2019,8.0C,2,NA,0.212,0.048,X,,
2,Pacific,18,3Pk,0.23,8/8/2019,8.0C,2,NA,0.1608,0.0341,,,
2,Olympia,18,3Pk,0.573,8/8/2019,8.0C,2,NA,0.48,0.104,,,
2,Olympia,19,3Pu,0.617,8/8/2019,8.0C,2,NA,0.49,0.078,,,
2,Pacific,19,3Pu,0.17,8/8/2019,8.0C,2,NA,NA,NA,,,X
3,Olympia,6,1Bk,0.262,8/9/2019,8.0A0.2,2,NA,0.211,0.024,,,
3,Pacific,6,1Bk,0.32,8/9/2019,8.0A0.2,2,NA,NA,NA,,,x
3,Olympia,4,1Bl,0.267,8/9/2019,8.0A0.2,2,NA,0.221,0.028,,,
3,Pacific,4,1Bl,0.24,8/9/2019,8.0A0.2,2,NA,0.199,0.036,,,
3,Olympia,1,1Gr,0.667,8/9/2019,8.0A0.2,2,NA,0.553,0.123,,,
3,Pacific,1,1Gr,0.38,8/9/2019,8.0A0.2,2,NA,0.358,0.101,,,
3,Olympia,5,1Or,0.488,8/9/2019,8.0A0.2,2,NA,0.377,0.083,,,
3,Pacific,5,1Or,0.29,8/9/2019,8.0A0.2,2,NA,0.193,0.032,,,
3,Olympia,2,1Pk,0.214,8/9/2019,8.0A0.2,2,NA,0.1726,0.0218,,,
3,Pacific,2,1Pk,0.38,8/9/2019,8.0A0.2,2,NA,0.345,0.089,X,,
3,Olympia,3,1Pu,0.287,8/9/2019,8.0A0.2,2,NA,0.239,0.041,,,
3,Olympia,7,1Rd,0.675,8/9/2019,8.0A0.2,2,NA,0.5729,0.0767,,,
3,Pacific,7,1Rd,0.34,8/9/2019,8.0A0.2,2,NA,0.2544,0.0698,,,
3,Olympia,8,1Wh,0.381,8/9/2019,8.0A0.2,2,NA,0.327,0.047,,,
3,Pacific,8,1Wh,0.26,8/9/2019,8.0A0.2,2,NA,0.2252,0.0418,,,
3,Olympia,14,2Bk,0.934,8/9/2019,8.0A0.2,2,NA,0.753,0.159,X,,
3,Pacific,14,2Bk,0.26,8/9/2019,8.0A0.2,2,NA,0.238,0.073,,,
3,Olympia,12,2Bl,0.506,8/9/2019,8.0A0.2,2,NA,0.427,0.072,,,
3,Pacific,12,2Bl,0.54,8/9/2019,8.0A0.2,2,NA,0.5,0.135,X,,
3,Olympia,9,2Gr,0.391,8/9/2019,8.0A0.2,2,NA,0.3223,0.0594,,,
3,Pacific,9,2Gr,0.27,8/9/2019,8.0A0.2,2,NA,0.244,0.06,,,
3,Olympia,13,2Or,0.666,8/9/2019,8.0A0.2,2,NA,0.568,0.082,,,
3,Pacific,13,2Or,0.29,8/9/2019,8.0A0.2,2,NA,0.235,0.06,,,
3,Olympia,10,2Pk,0.575,8/9/2019,8.0A0.2,2,NA,0.4549,0.0951,,,
3,Pacific,10,2Pk,0.32,8/9/2019,8.0A0.2,2,NA,0.2645,0.0605,,,
3,Olympia,11,2Pu,0.81,8/9/2019,8.0A0.2,2,NA,0.6527,0.0966,,,
3,Olympia,15,2Rd,0.653,8/9/2019,8.0A0.2,2,NA,0.551,0.117,,,
3,Pacific,15,2Rd,0.75,8/9/2019,8.0A0.2,2,NA,0.608,0.185,,,
3,Olympia,16,2Wh,0.575,8/9/2019,8.0A0.2,2,NA,0.45,0.11,,,
3,Pacific,16,2Wh,0.38,8/9/2019,8.0A0.2,2,NA,0.311,0.076,,,
3,Olympia,20,3Bl,0.689,8/9/2019,8.0A0.2,2,NA,0.53,0.092,,,
3,Pacific,20,3Bl,0.14,8/9/2019,8.0A0.2,2,NA,0.135,0.029,,,
3,Olympia,17,3Gr,1.005,8/9/2019,8.0A0.2,2,NA,0.84,0.089,X,,
3,Pacific,17,3Gr,0.46,8/9/2019,8.0A0.2,2,NA,0.303,0.137,,,
3,Pacific,18,3Pk,0.38,8/9/2019,8.0A0.2,2,NA,0.302,0.085,,,
3,Olympia,18,3Pk,1.19,8/9/2019,8.0A0.2,2,NA,1.06,0.223,,,
3,Olympia,19,3Pu,0.898,8/9/2019,8.0A0.2,2,NA,0.732,0.109,,,
4,Olympia,6,1Bk,0.445,8/23/2019,8.0A0.2,4,NA,0.379,0.051,,,
4,Pacific,6,1Bk,0.19,8/23/2019,8.0A0.2,4,NA,0.18,0.038,,,
4,Olympia,4,1Bl,0.227,8/23/2019,8.0A0.2,4,NA,0.171,0.023,,,
4,Pacific,4,1Bl,0.27,8/23/2019,8.0A0.2,4,NA,0.238,0.04,,,
4,Olympia,1,1Gr,0.294,8/23/2019,8.0A0.2,4,NA,0.2247,0.0362,,,
4,Pacific,9,1Gr,0.3,8/23/2019,8.0A0.2,4,NA,0.195,0.031,,,
4,Olympia,5,1Or,0.218,8/23/2019,8.0A0.2,4,NA,0.166,0.026,,,
4,Pacific,5,1Or,0.35,8/23/2019,8.0A0.2,4,NA,0.281,0.071,,,
4,Olympia,2,1Pk,0.151,8/23/2019,8.0A0.2,4,NA,NA,NA,,,X
4,Olympia,3,1Pu,0.268,8/23/2019,8.0A0.2,4,NA,0.215,0.031,,,
4,Pacific,3,1Pu,0.44,8/23/2019,8.0A0.2,4,NA,0.251,0.041,,,
4,Pacific,7,1Rd,0.41,8/23/2019,8.0A0.2,4,NA,0.322,0.069,X,,
4,Olympia,7,1Rd,0.116,8/23/2019,8.0A0.2,4,NA,NA,NA,,,X
4,Olympia,8,1Wh,0.728,8/23/2019,8.0A0.2,4,NA,0.616,0.096,,,
4,Pacific,8,1Wh,0.12,8/23/2019,8.0A0.2,4,NA,0.103,0.026,,,
4,Olympia,14,2Bk,0.474,8/23/2019,8.0A0.2,4,NA,0.415,0.089,,,
4,Pacific,14,2Bk,0.15,8/23/2019,8.0A0.2,4,NA,NA,NA,,,X
4,Pacific,12,2Bl,0.34,8/23/2019,8.0A0.2,4,NA,0.305,0.06,X,,
4,Olympia,12,2Bl,0.594,8/23/2019,8.0A0.2,4,NA,NA,NA,,,X
4,Olympia,9,2Gr,0.829,8/23/2019,8.0A0.2,4,NA,0.6953,0.1429,,,
4,Pacific,1,2Gr,0.3,8/23/2019,8.0A0.2,4,NA,0.293,0.044,,,
4,Olympia,13,2Or,0.171,8/23/2019,8.0A0.2,4,NA,0.148,0.024,,,
4,Pacific,13,2Or,0.21,8/23/2019,8.0A0.2,4,NA,0.196,0.03,,,
4,Olympia,10,2Pk,0.313,8/23/2019,8.0A0.2,4,NA,NA,NA,,,X
4,Olympia,11,2Pu,0.386,8/23/2019,8.0A0.2,4,NA,0.28,0.064,,,
4,Pacific,11,2Pu,0.32,8/23/2019,8.0A0.2,4,NA,0.199,0.051,,,
4,Pacific,15,2Rd,0.29,8/23/2019,8.0A0.2,4,NA,NA,NA,,,x
4,Olympia,15,2Rd,0.665,8/23/2019,8.0A0.2,4,NA,NA,NA,,,X
4,Olympia,16,2Wh,0.78,8/23/2019,8.0A0.2,4,NA,0.692,0.131,X,,
4,Pacific,16,2Wh,0.45,8/23/2019,8.0A0.2,4,NA,0.435,0.075,,,
4,Pacific,20,3Bl,0.3,8/23/2019,8.0A0.2,4,NA,0.243,0.046,,,
4,Olympia,20,3Bl,0.601,8/23/2019,8.0A0.2,4,NA,0.52,0.085,,,
4,Olympia,17,3Gr,1.002,8/23/2019,8.0A0.2,4,NA,0.827,0.158,,,
4,Pacific,17,3Gr,0.58,8/23/2019,8.0A0.2,4,NA,0.476,0.087,,,
4,Olympia,18,3Pk,0.742,8/23/2019,8.0A0.2,4,NA,0.623,0.113,X,,
4,Olympia,19,3Pu,0.477,8/23/2019,8.0A0.2,4,NA,0.39,0.065,,,
4,Pacific,19,3Pu,0.44,8/23/2019,8.0A0.2,4,NA,0.4,0.097,,,
5,Olympia,6,1Bk,0.379,8/9/2019,8.0A0.2,2,NA,0.299,0.044,,,
5,Olympia,4,1Bl,0.306,8/9/2019,8.0A0.2,2,NA,0.284,0.04,,,
5,Olympia,1,1Gr,0.338,8/9/2019,8.0A0.2,2,NA,0.27,0.038,,,
5,Pacific,5,1Or,0.12,8/9/2019,8.0A0.2,2,NA,0.0895,0.0174,,,
5,Olympia,5,1Or,0.27,8/9/2019,8.0A0.2,2,NA,0.227,0.05,,,
5,Olympia,2,1Pk,0.225,8/9/2019,8.0A0.2,2,NA,0.186,0.027,,,
5,Olympia,3,1Pu,0.237,8/9/2019,8.0A0.2,2,NA,0.185,0.028,,,
5,Olympia,7,1Rd,0.353,8/9/2019,8.0A0.2,2,NA,0.296,0.047,,,
5,Pacific,7,1Rd,0.42,8/9/2019,8.0A0.2,2,NA,0.316,0.092,X,,
5,Olympia,8,1Wh,0.206,8/9/2019,8.0A0.2,2,NA,NA,NA,,,X
5,Olympia,14,2Bk,0.404,8/9/2019,8.0A0.2,2,NA,0.33,0.06,,,
5,Pacific,14,2Bk,0.41,8/9/2019,8.0A0.2,2,NA,0.408,0.1,,,
5,Olympia,12,2Bl,0.478,8/9/2019,8.0A0.2,2,NA,0.415,0.06,,,
5,Olympia,9,2Gr,0.391,8/9/2019,8.0A0.2,2,NA,0.332,0.06,,,
5,Olympia,13,2Or,0.435,8/9/2019,8.0A0.2,2,NA,0.351,0.054,,,
5,Pacific,13,2Or,0.1,8/9/2019,8.0A0.2,2,NA,NA,NA,,,X
5,Olympia,10,2Pk,0.438,8/9/2019,8.0A0.2,2,NA,0.372,0.064,,,
5,Olympia,11,2Pu,0.342,8/9/2019,8.0A0.2,2,NA,0.283,0.059,,,
5,Pacific,11,2Pu,0.25,8/9/2019,8.0A0.2,2,NA,0.21,0.052,X,,
5,Olympia,15,2Rd,0.465,8/9/2019,8.0A0.2,2,NA,0.379,0.064,,,
5,Pacific,15,2Rd,0.31,8/9/2019,8.0A0.2,2,NA,0.2328,0.0517,,,
5,Olympia,16,2Wh,0.463,8/9/2019,8.0A0.2,2,NA,0.379,0.066,,,
5,Olympia,20,3Bl,1.095,8/9/2019,8.0A0.2,2,NA,0.9048,0.1418,,,
5,Pacific,20,3Bl,0.28,8/9/2019,8.0A0.2,2,NA,0.263,0.082,,,
5,Olympia,17,3Gr,0.514,8/9/2019,8.0A0.2,2,NA,NA,NA,,,X
5,Olympia,18,3Pk,0.867,8/9/2019,8.0A0.2,2,NA,0.68,0.156,X,,
5,Pacific,18,3Pk,0.56,8/9/2019,8.0A0.2,2,NA,0.491,0.12,,,
5,Olympia,19,3Pu,1.005,8/9/2019,8.0A0.2,2,NA,0.785,0.113,,,
5,Pacific,19,3Pu,0.39,8/9/2019,8.0A0.2,2,NA,0.305,0.1,,,
6,Olympia,6,1Bk,0.633,8/8/2019,7.7C,2,NA,0.5201,0.1174,,,
6,Pacific,6,1Bk,0.18,8/8/2019,7.7C,2,NA,0.156,0.029,,,
6,Pacific,4,1Bl,0.21,8/8/2019,7.7C,2,NA,0.2126,0.0637,,,
6,Olympia,1,1Gr,0.181,8/8/2019,7.7C,2,NA,0.135,0.015,,,
6,Pacific,1,1Gr,0.34,8/8/2019,7.7C,2,NA,0.2422,0.0684,,,
6,Olympia,5,1Or,0.656,8/8/2019,7.7C,2,NA,0.519,0.105,,,
6,Pacific,5,1Or,0.19,8/8/2019,7.7C,2,NA,0.181,0.049,,,
6,Pacific,2,1Pk,0.22,8/8/2019,7.7C,2,NA,0.14,0.035,,,
6,Olympia,2,1Pk,0.146,8/8/2019,7.7C,2,NA,0.31,0.0409,,,
6,Pacific,3,1Pu,0.34,8/8/2019,7.7C,2,NA,0.2969,0.0667,,,
6,Olympia,3,1Pu,0.194,8/8/2019,7.7C,2,NA,NA,NA,,,X
6,Olympia,7,1Rd,0.676,8/8/2019,7.7C,2,NA,0.545,0.108,X,,
6,Pacific,7,1Rd,0.09,8/8/2019,7.7C,2,NA,0.066,0.02,,,
6,Pacific,8,1Wh,0.18,8/8/2019,7.7C,2,NA,0.156,0.04,,,
6,Olympia,7,1Wh,0.816,8/8/2019,7.7C,2,NA,NA,NA,,,X
6,Olympia,14,2Bk,1.121,8/8/2019,7.7C,2,NA,0.882,0.162,,,
6,Pacific,14,2Bk,0.19,8/8/2019,7.7C,2,NA,0.176,0.05,,,
6,Olympia,12,2Bl,0.232,8/8/2019,7.7C,2,NA,0.1745,0.0403,,,
6,Pacific,12,2Bl,0.3,8/8/2019,7.7C,2,NA,0.218,0.065,,,
6,Olympia,9,2Gr,0.762,8/8/2019,7.7C,2,NA,0.605,0.122,,,
6,Pacific,9,2Gr,0.33,8/8/2019,7.7C,2,NA,0.252,0.074,,,
6,Pacific,13,2Or,0.22,8/8/2019,7.7C,2,NA,0.177,0.045,,,
6,Pacific,10,2Pk,0.27,8/8/2019,7.7C,2,NA,0.194,0.06,,,
6,Pacific,11,2Pu,0.3,8/8/2019,7.7C,2,NA,0.232,0.087,,,
6,Olympia,11,2Pu,0.28,8/8/2019,7.7C,2,NA,NA,NA,,,X
6,Olympia,15,2Rd,0.484,8/8/2019,7.7C,2,NA,0.355,0.097,,,
6,Pacific,15,2Rd,0.28,8/8/2019,7.7C,2,NA,0.212,0.054,,,
6,Pacific,16,2Wh,0.25,8/8/2019,7.7C,2,NA,0.2,0.053,x,,
6,Olympia,20,3Bl,0.597,8/8/2019,7.7C,2,NA,0.472,0.087,X,,
6,Pacific,20,3Bl,0.28,8/8/2019,7.7C,2,NA,0.2126,0.0637,,,
6,Olympia,17,3Gr,0.037,8/8/2019,7.7C,2,NA,0.806,0.183,,,
6,Pacific,17,3Gr,0.55,8/8/2019,7.7C,2,NA,NA,NA,,,X
6,Olympia,18,3Pk,0.604,8/8/2019,7.7C,2,NA,0.4778,0.0631,,,
6,Pacific,18,3Pk,0.41,8/8/2019,7.7C,2,NA,0.295,0.098,,,
6,Olympia,19,3Pu,0.61,8/8/2019,7.7C,2,NA,0.471,0.083,,,
6,Pacific,19,3Pu,0.6,8/8/2019,7.7C,2,NA,0.49,0.149,X,,
7,Pacific,6,1Bk,0.19,8/23/2019,8.0A0.2,4,NA,0.139,0.023,,,
7,Olympia,6,1Bk,0.672,8/23/2019,8.0A0.2,4,NA,0.559,0.116,,,
7,Olympia,4,1Bl,0.363,8/23/2019,8.0A0.2,4,NA,0.297,0.04,,,
7,Pacific,4,1Bl,0.11,8/23/2019,8.0A0.2,4,NA,0.076,0.015,,,
7,Olympia,1,1Gr,0.554,8/23/2019,8.0A0.2,4,NA,0.462,0.082,,,
7,Pacific,1,1Gr,0.09,8/23/2019,8.0A0.2,4,NA,0.06,0.0089,,,
7,Olympia,5,1Or,0.332,8/23/2019,8.0A0.2,4,NA,0.247,0.038,,,
7,Pacific,5,1Or,0.26,8/23/2019,8.0A0.2,4,NA,NA,NA,,,X
7,Olympia,2,1Pk,0.51,8/23/2019,8.0A0.2,4,NA,0.42,0.088,,,
7,Pacific,2,1Pk,0.08,8/23/2019,8.0A0.2,4,NA,0.08,0.016,,,
7,Olympia,3,1Pu,0.446,8/23/2019,8.0A0.2,4,NA,0.342,0.071,,,
7,Pacific,3,1Pu,0.19,8/23/2019,8.0A0.2,4,NA,0.147,0.034,,,
7,Olympia,7,1Rd,0.36,8/23/2019,8.0A0.2,4,NA,0.315,0.036,,,
7,Pacific,7,1Rd,0.08,8/23/2019,8.0A0.2,4,NA,0.065,0.0165,,,
7,Olympia,8,1Wh,0.592,8/23/2019,8.0A0.2,4,NA,0.487,0.102,,,
7,Pacific,8,1Wh,0.15,8/23/2019,8.0A0.2,4,NA,0.121,0.021,,,
7,Pacific,14,2Bk,0.15,8/23/2019,8.0A0.2,4,NA,NA,NA,,,X
7,Olympia,14,2Bk,0.874,8/23/2019,8.0A0.2,4,NA,NA,NA,X,,X
7,Olympia,12,2Bl,0.748,8/23/2019,8.0A0.2,4,NA,0.651,0.089,,,
7,Pacific,12,2Bl,0.27,8/23/2019,8.0A0.2,4,NA,NA,NA,,,X
7,Pacific,9,2Gr,0.23,8/23/2019,8.0A0.2,4,NA,0.1942,0.0351,,,
7,Olympia,9,2Gr,0.457,8/23/2019,8.0A0.2,4,NA,NA,NA,,,X
7,Olympia,13,2Or,0.459,8/23/2019,8.0A0.2,4,NA,0.388,0.045,,,
7,Pacific,13,2Or,0.3,8/23/2019,8.0A0.2,4,NA,0.29,0.065,,,
7,Olympia,10,2Pk,0.632,8/23/2019,8.0A0.2,4,NA,0.512,0.063,,,
7,Pacific,10,2Pk,0.23,8/23/2019,8.0A0.2,4,NA,0.167,0.028,,,
7,Olympia,11,2Pu,0.703,8/23/2019,8.0A0.2,4,NA,0.585,0.088,,,
7,Pacific,11,2Pu,0.33,8/23/2019,8.0A0.2,4,NA,0.28,0.077,,,
7,Olympia,15,2Rd,0.308,8/23/2019,8.0A0.2,4,NA,0.249,0.024,,,
7,Pacific,15,2Rd,0.43,8/23/2019,8.0A0.2,4,NA,NA,NA,,,X
7,Pacific,16,2Wh,0.25,8/23/2019,8.0A0.2,4,NA,0.17,0.037,,,
7,Olympia,16,2Wh,0.395,8/23/2019,8.0A0.2,4,NA,0.342,0.063,,,
7,Olympia,20,3Bl,0.577,8/23/2019,8.0A0.2,4,NA,0.488,0.097,,,
7,Pacific,20,3Bl,0.25,8/23/2019,8.0A0.2,4,NA,NA,NA,,,X
7,Olympia,17,3Gr,0.398,8/23/2019,8.0A0.2,4,NA,0.303,0.055,,,
7,Pacific,17,3Gr,0.32,8/23/2019,8.0A0.2,4,NA,0.2389,0.0514,,,
7,Olympia,18,3Pk,0.535,8/23/2019,8.0A0.2,4,NA,0.435,0.082,,,
7,Pacific,18,3Pk,0.46,8/23/2019,8.0A0.2,4,NA,0.374,0.094,X,,
7,Pacific,19,3Pu,0.27,8/23/2019,8.0A0.2,4,NA,0.247,0.055,X,,
7,Olympia,19,3Pu,0.846,8/23/2019,8.0A0.2,4,NA,0.765,0.127,X,,
8,Olympia,6,1Bk,0.2,8/22/2019,7.7A0.2,4,NA,0.163,0.018,,,
8,Pacific,6,1Bk,0.09,8/22/2019,7.7A0.2,4,NA,0.0619,0.0146,,,
8,Pacific,4,1Bl,0.16,8/22/2019,7.7A0.2,4,NA,0.128,0.027,,,
8,Olympia,4,1Bl,0.195,8/22/2019,7.7A0.2,4,NA,NA,NA,,,X
8,Pacific,1,1Gr,0.21,8/22/2019,7.7A0.2,4,NA,0.1838,0.031,,,
8,Olympia,1,1Gr,0.165,8/22/2019,7.7A0.2,4,NA,NA,NA,,,X
8,Olympia,5,1Or,0.211,8/22/2019,7.7A0.2,4,NA,0.176,0.026,,,
8,Pacific,5,1Or,0.09,8/22/2019,7.7A0.2,4,NA,0.089,0.016,,,
8,Pacific,2,1Pk,0.29,8/22/2019,7.7A0.2,4,NA,0.241,0.049,,,
8,Olympia,2,1Pk,0.158,8/22/2019,7.7A0.2,4,NA,NA,NA,,,X
8,Olympia,3,1Pu,0.284,8/22/2019,7.7A0.2,4,NA,0.238,0.027,,,
8,Olympia,7,1Rd,0.445,8/22/2019,7.7A0.2,4,NA,0.359,0.052,,,
8,Pacific,7,1Rd,0.13,8/22/2019,7.7A0.2,4,NA,0.1041,0.02,,,
8,Pacific,8,1Wh,0.15,8/22/2019,7.7A0.2,4,NA,0.1266,0.0216,,,
8,Olympia,8,1Wh,0.385,8/22/2019,7.7A0.2,4,NA,0.374,0.06,,,
8,Pacific,14,2Bk,0.11,8/22/2019,7.7A0.2,4,NA,0.094,0.014,,,
8,Olympia,14,2Bk,0.442,8/22/2019,7.7A0.2,4,NA,NA,NA,,,x
8,Pacific,12,2Bl,0.17,8/22/2019,7.7A0.2,4,NA,0.1581,0.0343,,,
8,Olympia,12,2Bl,0.288,8/22/2019,7.7A0.2,4,NA,NA,NA,,,X
8,Olympia,9,2Gr,0.394,8/22/2019,7.7A0.2,4,NA,0.3054,0.0363,,,
8,Pacific,9,2Gr,0.29,8/22/2019,7.7A0.2,4,NA,0.258,0.047,,,
8,Olympia,13,2Or,0.368,8/22/2019,7.7A0.2,4,NA,0.273,0.044,,,
8,Pacific,13,2Or,0.19,8/22/2019,7.7A0.2,4,NA,0.1384,0.0359,,,
8,Olympia,10,2Pk,0.366,8/22/2019,7.7A0.2,4,NA,0.3062,0.0496,,,
8,Pacific,10,2Pk,0.26,8/22/2019,7.7A0.2,4,NA,0.181,0.048,,,
8,Olympia,11,2Pu,0.457,8/22/2019,7.7A0.2,4,NA,0.3694,0.0465,,,
8,Olympia,15,2Rd,1.266,8/22/2019,7.7A0.2,4,NA,0.877,0.161,,,
