Jar,Species,Individual.ID,Initial_wetweight,Date,Treatment,Week,Whole.Organism.Weight,Shell.Weight,Tissue.Weight,Respiration,Feeding.calcification,Comments2,Comments(Amanda),Unable.to.confirm.ID,Dead,omit
1,Pacific,1Gr,0.56,8/8/2019,7.7A0.2,2,0.65,NA,NA,,X,"tissue and shell weight in Week 6, not used for feeding/calc",,,,
1,Pacific,1Rd,0.56,9/6/2019,7.7A0.2,6,NA,0.567,0.167,,,whole organism wieght in Week 2; originally reserved for feeding/calc,,,,wrong week
1,Pacific,1Rd,0.56,8/8/2019,7.7A0.2,2,0.792,NA,NA,,X,"tissue and shell weight in Week 6, not used for feeding/calc",,,,
1,Pacific,2Pk,0.43,8/8/2019,7.7A0.2,6,NA,0.4,0.079,,,whole organism wieght in Week 2; originally reserved for feeding/calc,,,,wrong week
1,Pacific,2Pk,0.43,8/8/2019,7.7A0.2,2,0.537,NA,NA,,X,"tissue and shell weight in Week 6, not used for feeding/calc",,,,
12,Pacific,1Bk,0.12,9/6/2019,7.7A0.2,6,NA,0.122,0.025,,,"2Bk Pacific dissected in Week 0, shell and tissue weight of that organism correspond more with initial weights","removed unable to confirm ID tag during QA/QC, ID likely correct",,,wrong week
12,Pacific,1Rd,0.2,9/6/2019,7.7A0.2,6,NA,0.095,0.024,,,,,,,wrong week
12,Pacific,2Bl,0.26,9/6/2019,7.7A0.2,6,NA,0.195,0.042,,,,,,,wrong week
12,Pacific,2Pk,0.16,9/6/2019,7.7A0.2,6,NA,NA,NA,,,"dead; 2Pk Pacific dissected in Week 0, shell and tissue weight of that organism correspond more with initial weights",2Pk or 2Rd,X,X,wrong week
12,Pacific,2Pu,0.19,9/6/2019,7.7A0.2,6,NA,0.162,0.036,,,,,,,wrong week
21,Pacific,1Pk,0.1,9/6/2019,7.7A0.2,6,NA,0.061,0.005,,,"1Pk P dissected in Week 4, leftover animals taken from replicate containers; tissue tube is probably mislabled; Pacifics have no color",week 6 measurement,,,wrong week
21,Pacific,1Pk,0.1,8/22/2019,7.7A0.2,4,0.111,NA,NA,,X,1Pk data also in week 6 but this corresponds with initial data,"removed unable to confirm ID tag during QA/QC, ID likely correct",,,
21,Pacific,1Wh,0.13,9/6/2019,7.7A0.2,6,NA,0.108,0.021,,,leftover animals taken from replicate containers; tissue tube is probably mislabled; Pacifics have no color,week 6 measurement,,,wrong week
21,Pacific,1Wh,0.13,,,4,0.149,NA,NA,,,,,x,,
21,Pacific,2Or,0.37,9/6/2019,7.7A0.2,6,NA,0.064,0.015,,,2Or P dissected in Week 4; leftover animals taken from replicate containers; tissue tube is probably mislabled; Pacifics have no color,week 6 measurement,x,,wrong week
21,Pacific,2Or,0.37,8/22/2019,7.7A0.2,4,0.534,NA,NA,,X,1 dot; 2Or data also in week 6 but this corresponds with initial data,,,,
21,Pacific,2Wh,0.14,9/6/2019,7.7A0.2,6,NA,0.117,0.025,,,leftover animals taken from replicate containers; tissue tube is probably mislabled; Pacifics have no color,week 6 measurement,,,wrong week
21,Pacific,2Wh,0.14,,,4,0.246,NA,NA,,,,,x,,
25,Pacific,1Bl,0.1,9/6/2019,8.0A0.2,6,NA,NA,NA,,,dead;whole organism weight in week 2; originally reserved for feeding/calc,,,X,wrong week
25,Pacific,1Bl,0.1,8/8/2019,8.0A0.2,2,0.117,NA,NA,,X,tissue and shell weight in Week 6; not used for feeding/calc?,,,,
25,Pacific,1Gr,0.07,9/6/2019,8.0A0.2,6,NA,NA,NA,,,dead; whole organism weight in week 2; originally reserved for feeding/calc,,X,X,wrong week
25,Pacific,1Gr,0.07,8/8/2019,8.0A0.2,2,0.068,NA,NA,,X,tissue and shell weight in Week 6; not used for feeding/calc?,,,,
25,Pacific,1Or,0.27,9/6/2019,8.0A0.2,6,NA,0.199,0.056,,,whole organism weight in week 2; originally reserved for feeding/calc,,,,wrong week
25,Pacific,1Or,0.27,8/8/2019,8.0A0.2,2,0.275,NA,NA,,X,tissue and shell weight in Week 6; not used for feeding/calc?,,,,
25,Pacific,1Pk,0.05,9/6/2019,8.0A0.2,6,NA,NA,NA,,,dead; whole organism weight in week 2; originally reserved for feeding/calc,,,X,wrong week
25,Pacific,1Pk,0.05,8/8/2019,8.0A0.2,2,0.052,NA,NA,,X,tissue and shell weight in Week 6; not used for feeding/calc?,,,,
25,Pacific,1Pu,0.14,9/6/2019,8.0A0.2,6,NA,0.115,0.029,,,whole organism weight in week 2; originally reserved for feeding/calc,,,,wrong week
25,Pacific,1Pu,0.14,8/8/2019,8.0A0.2,2,0.144,NA,NA,,X,possibly purple; tissue and shell weight in Week 6; not used for feeding/calc?,,,,
25,Pacific,2Bk,0.3,9/6/2019,8.0A0.2,6,NA,0.295,0.076,,,whole organism weight in week 2; originally reserved for feeding/calc,"removed unable to confirm ID tag during QA/QC, ID likely correct",,,wrong week
25,Pacific,2Bk,0.3,8/8/2019,8.0A0.2,2,0.384,NA,NA,,X,tissue and shell weight in Week 6; not used for feeding/calc?,,,,
25,Pacific,2Gr,0.17,9/6/2019,8.0A0.2,6,NA,0.202,0.052,,,whole organism weight in week 2; originally reserved for feeding/calc,"final ID incorrect, fixed during QA/QC",,,wrong week
25,Pacific,2Gr,0.17,8/8/2019,8.0A0.2,2,0.171,NA,NA,,X,tissue and shell weight in Week 6; not used for feeding/calc?,,,,
25,Pacific,2Or,0.23,9/6/2019,8.0A0.2,6,NA,0.169,0.05,,,whole organism weight in week 2; originally reserved for feeding/calc,,,,wrong week
25,Pacific,2Or,0.23,8/8/2019,8.0A0.2,2,0.259,NA,NA,,X,ID changed from 3Or to 2Or during QA/QC; could be in 3Or bag and vial,,,,
25,Pacific,2Pk,0.24,9/6/2019,8.0A0.2,6,NA,NA,NA,,,dead; whole organism weight in week 2; originally reserved for feeding/calc,,,X,wrong week
25,Pacific,2Pk,0.24,8/8/2019,8.0A0.2,2,0.232,NA,NA,,X,tissue and shell weight in Week 6; not used for feeding/calc?,,,,
25,Pacific,3Bl,0.26,9/6/2019,8.0A0.2,6,NA,NA,NA,,,dead; whole organism weight in week 2; originally reserved for feeding/calc,,,X,wrong week
25,Pacific,3Bl,0.26,8/8/2019,8.0A0.2,2,0.287,NA,NA,,X,tissue and shell weight in Week 6; not used for feeding/calc?,,,,
25,Pacific,3Gr,0.52,9/6/2019,8.0A0.2,6,NA,0.44,0.096,,,whole organism weight in week 2; originally reserved for feeding/calc,"final ID incorrect, fixed during QA/QC",,,wrong week
25,Pacific,3Gr,0.52,8/8/2019,8.0A0.2,2,0.631,NA,NA,,X,tissue and shell weight in Week 6; not used for feeding/calc?,,,,
25,Pacific,3Pu,0.5,9/6/2019,8.0A0.2,6,NA,0.423,0.089,,,whole organism weight in week 2; originally reserved for feeding/calc,,,,wrong week
25,Pacific,3Pu,0.5,8/8/2019,8.0A0.2,2,0.573,NA,NA,,X,tissue and shell weight in Week 6; not used for feeding/calc?,,,,
26,Pacific,1Gr,0.03,9/6/2019,7.7A0.2,6,NA,0.2201,0.0514,,,no dots; 1Gr dissected week 0 and better corresponds with initial weights,"ID wrong, cannot have two dissections of same individual",X,,wrong week
26,Pacific,1Gr,NA,7/25/2019,7.7A0.2,0,NA,0.037,0.014,,,1Gr shell and tissue data also in Week 6; this corresponds better to initial weights,wet weight removed during QA/QC because dissection weights more accurate,,,
26,Pacific,1Or,0.08,9/6/2019,7.7A0.2,6,NA,0.0632,0.0199,,,,,,,wrong week
26,Pacific,1Or,0.08,9/6/2019,7.7A0.2,6,NA,0.273,0.05,,,Pacific in Olympia bag,"ID wrong, cannot have two dissections of same individual",x,,wrong week
26,Pacific,1Pk,0.07,9/6/2019,7.7A0.2,6,NA,0.19,0.053,,,no color; Pacific in Olympia bag,"ID wrong, cannot have two dissections of same individual",X,,wrong week
26,Pacific,1Pk,NA,7/25/2019,7.7A0.2,0,NA,0.062,0.022,,,1Pk shell and tissue data also in Week 6l this corresponds better to initial weights,wet weight removed during QA/QC because dissection weights more accurate,,,
26,Pacific,1Pu,0.13,9/6/2019,7.7A0.2,6,NA,NA,NA,,,dead; 1Pu dissected week 0 and that better corresponds with initial weights,"ID wrong, cannot have two dissections of same individual",X,X,wrong week
26,Pacific,1Pu,NA,7/25/2019,7.7A0.2,0,NA,0.097,0.022,,,1Pu shell and tissue data also in Week 6; this corresponds better to initial weights,wet weight removed during QA/QC because dissection weights more accurate,,,
26,Pacific,1Rd,0.11,9/6/2019,7.7A0.2,6,NA,0.084,0.019,,,Pacific in Olympia bag,,,,wrong week
26,Pacific,1Wh,0.14,9/6/2019,7.7A0.2,6,NA,0.156,0.031,,,Pacific in Olympia bag,,,,wrong week
26,Pacific,2Bk,0.28,9/6/2019,7.7A0.2,6,NA,NA,NA,,,dead,,,X,wrong week
26,Pacific,2Bl,0.11,9/6/2019,7.7A0.2,6,NA,NA,NA,,,dead,,,X,wrong week
26,Pacific,2Pk,0.18,9/6/2019,7.7A0.2,6,NA,0.0977,0.0264,,,no dots,"ID wrong, cannot have two dissections of same individual",X,,wrong week
26,Pacific,2Pk,NA,7/25/2019,7.7A0.2,0,NA,0.141,0.044,,,2Pk shell and tissue data also in Week 6; this corresponds better to initial weights,wet weight removed during QA/QC because dissection weights more accurate,,,
26,Pacific,2Rd,0.31,9/6/2019,7.7A0.2,6,NA,0.142,0.03,,,no color; Pacific in Olympia bag,"ID wrong, cannot have two dissections of same individual",X,,wrong week
26,Pacific,2Rd,NA,7/25/2019,7.7A0.2,0,NA,0.213,0.062,,,2Pu shell and tissue data also in Week 6; this corresponds better to initial weights,wet weight removed during QA/QC because dissection weights more accurate,,,
26,Pacific,2Wh,0.25,9/6/2019,7.7A0.2,6,NA,0.212,0.039,,,2 White in Olympia bag; changed from 2Pk to 2Wh during QA/QC,,,,wrong week
26,Pacific,3Bl,0.32,9/6/2019,7.7A0.2,6,NA,0.234,NA,,,no dots,,X,,wrong week
41,Pacific,1Bk,0.09,9/6/2019,7.7C,6,NA,0.0669,0.0149,,,,,,,wrong week
41,Pacific,1Gr,0.1,9/6/2019,7.7C,6,NA,0.0769,0.0173,,,,,,,wrong week
41,Pacific,1Pk,0.18,9/6/2019,7.7C,6,NA,0.1616,0.0351,,,,,,,wrong week
41,Pacific,1Pu,0.16,9/6/2019,7.7C,6,NA,0.136,0.05,,,,,,,wrong week
41,Pacific,1Rd,0.08,9/6/2019,7.7C,6,NA,0.071,0.004,,,,,,,wrong week
41,Pacific,1Wh,0.09,9/6/2019,7.7C,6,NA,0.076,0.008,,,,,,,wrong week
41,Pacific,2Bl,0.16,9/6/2019,7.7C,6,NA,0.213,0.048,,,,,,,wrong week
41,Pacific,2Or,0.33,9/6/2019,7.7C,6,NA,0.2537,0.0649,,,,,,,wrong week
41,Pacific,3Bl,0.28,9/6/2019,7.7C,6,NA,0.377,0.115,,,,,,,wrong week
47,Pacific,1Bk,0.08,9/6/2019,7.7A0.5,6,NA,0.058,0.008,,,,,,,wrong week
47,Pacific,1Bl,0.11,9/6/2019,7.7A0.5,6,NA,NA,NA,,,dead,,,X,wrong week
47,Pacific,1Gr,0.13,9/6/2019,7.7A0.5,6,NA,0.106,0.016,,,,,,,wrong week
47,Pacific,1Or,0.07,9/6/2019,7.7A0.5,6,NA,0.046,0.001,,,,,,,wrong week
47,Pacific,1Pu,0.07,9/6/2019,7.7A0.5,6,NA,0.068,0.0171,,,shell and tissue data also in Week 0; week 6 data better correponds to initial weights?,,,,wrong week
47,Pacific,1Pu,NA,7/25/2019,7.7A0.5,0,NA,0.152,0.057,,,shell and tissue weight also in Week 6; week 6 data better corresponds to initial weights?,"ID wrong, cannot have two dissections of same individual",X,,
47,Pacific,2Rd,0.46,9/6/2019,7.7A0.5,6,NA,0.082,0.014,,,,,,,wrong week
47,Pacific,3Bl,0.36,9/6/2019,7.7A0.5,6,NA,NA,NA,,,dead,,,X,wrong week
47,Pacific,3Gr,0.28,9/6/2019,7.7A0.5,6,NA,0.306,0.054,,,,,,,wrong week
49,Pacific,1Bl,0.2,9/6/2019,8.0A0.2,6,NA,0.2509,0.0629,,,no dots,"cannot confirm id, too many possibilities",X,,wrong week
49,Pacific,1Bl,0.2,8/22/2019,8.0A0.2,4,0.257,NA,NA,,X,,,,,
49,Pacific,1Gr,0.13,9/6/2019,8.0A0.2,6,NA,0.25,0.033,,,no dots,"cannot confirm id, too many possibilities",X,,wrong week
49,Pacific,1Gr,0.13,,,4,0.185,NA,NA,,,,"cannot confirm id, marked as unknown on hard copy",x,,
49,Pacific,1Or,0.16,9/6/2019,8.0A0.2,6,NA,0.102,0.014,,,no dots,"cannot confirm id, too many possibilities",X,,wrong week
49,Pacific,1Or,0.16,8/22/2019,8.0A0.2,4,0.25,NA,NA,,X,,,,,
49,Pacific,1Pu,0.09,9/6/2019,8.0A0.2,6,NA,0.067,0.006,,,whole organism weight in week4; originally reserved for feeding/calc,,,,wrong week
49,Pacific,1Pu,0.09,8/22/2019,8.0A0.2,4,0.118,NA,NA,,X,shell and tissue data in Week 6; not used for feeding/calc?,,,,
49,Pacific,1Si,0.12,9/6/2019,8.0A0.2,6,NA,0.1477,0.0269,,,no dots,"cannot confirm id, too many possibilities",X,,wrong week
49,Pacific,1Si,0.12,8/22/2019,8.0A0.2,4,0.13,NA,NA,,X,,,,,
49,Pacific,2Bl,0.22,9/6/2019,8.0A0.2,6,NA,0.16,0.037,,,whole organism weight in week 4; originally reserved for feeding/calc,,,,wrong week
49,Pacific,2Bl,0.22,8/22/2019,8.0A0.2,4,0.303,NA,NA,,X,shell and tissue data in Week 6; not used for feeding/calc?,,,,
49,Pacific,3Or,0.33,9/6/2019,8.0A0.2,6,NA,0.285,0.029,,,whole organism weight in week 4; originally reserved for feeding/calc,,,,wrong week
49,Pacific,3Or,0.33,8/22/2019,8.0A0.2,4,0.45,NA,NA,,X,shell and tissue data in Week 6; not used for feeding/calc?,,,,
