Jar,Individual ID,Species,Week,Treatment,Rep,Dissolution score1,Circles1,Crosses1,Exposed crystals1,Total1
3,1W,Pacific,2,8.0A0.2,2,2,1,0,1,2
3,1W,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,1W,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,1W,Pacific,2,8.0A0.2,2,3,1,0,1,2
3,1W,Pacific,2,8.0A0.2,2,3,0,1,1,2
3,1W,Pacific,2,8.0A0.2,2,3,1,1,1,3
3,1W,Pacific,2,8.0A0.2,2,2,0,0,1,1
3,1W,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,1W,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,1W,Pacific,2,8.0A0.2,2,3,0,0,1,1
3,1W,Pacific,2,8.0A0.2,2,3,0,0,1,1
22,2Bl,Olympia,2,8.0C,1,3,0,0,1,1
22,2Bl,Olympia,2,8.0C,1,3,1,0,1,2
22,2Bl,Olympia,2,8.0C,1,2,1,0,1,2
22,2Bl,Olympia,2,8.0C,1,3,0,0,1,1
22,2Bl,Olympia,2,8.0C,1,1,1,1,1,3
22,2Bl,Olympia,2,8.0C,1,1,1,0,1,2
22,2Bl,Olympia,2,8.0C,1,1,1,1,1,3
22,2Bl,Olympia,2,8.0C,1,2,1,0,1,2
22,2Bl,Olympia,2,8.0C,1,2,1,0,1,2
22,2Bl,Olympia,2,8.0C,1,1,1,1,1,3
22,2Bl,Olympia,2,8.0C,1,1,1,1,1,3
22,2Bl,Olympia,2,8.0C,1,1,1,0,0,1
22,2Bl,Olympia,2,8.0C,1,1,0,0,1,1
22,2Bl,Olympia,2,8.0C,1,1,1,0,1,2
22,2Bl,Olympia,2,8.0C,1,2,1,0,1,2
22,2Bl,Olympia,2,8.0C,1,1,0,0,1,1
22,2Bl,Olympia,2,8.0C,1,2,1,0,1,2
22,2Bl,Olympia,2,8.0C,1,2,0,0,1,1
22,2Bl,Olympia,2,8.0C,1,3,0,0,1,1
22,2Bl,Olympia,2,8.0C,1,3,0,0,1,1
22,2Bl,Olympia,2,8.0C,1,3,0,0,1,1
22,3Gr,Olympia,2,8.0C,1,2,1,0,1,2
22,3Gr,Olympia,2,8.0C,1,2,1,1,1,3
22,3Gr,Olympia,2,8.0C,1,2,1,0,1,2
22,3Gr,Olympia,2,8.0C,1,2,1,1,1,3
22,3Gr,Olympia,2,8.0C,1,2,1,0,1,2
22,3Gr,Olympia,2,8.0C,1,2,0,0,1,1
22,3Gr,Olympia,2,8.0C,1,2,1,0,1,2
22,3Gr,Olympia,2,8.0C,1,2,1,0,1,2
22,3Gr,Olympia,2,8.0C,1,2,1,0,1,2
22,3Gr,Olympia,2,8.0C,1,2,1,0,1,2
22,3Gr,Olympia,2,8.0C,1,2,1,0,1,2
22,3Gr,Olympia,2,8.0C,1,2,1,1,1,3
22,3Gr,Olympia,2,8.0C,1,2,1,0,1,2
22,3Gr,Olympia,2,8.0C,1,2,1,1,1,3
22,3Gr,Olympia,2,8.0C,1,2,1,0,1,2
22,3Gr,Olympia,2,8.0C,1,3,0,0,1,1
22,3Gr,Olympia,2,8.0C,1,3,0,1,1,2
22,3Gr,Olympia,2,8.0C,1,2,1,1,1,3
22,3Gr,Olympia,2,8.0C,1,3,0,0,1,1
22,3Gr,Olympia,2,8.0C,1,3,0,0,1,1
22,3Gr,Olympia,2,8.0C,1,3,1,0,1,2
22,3Gr,Olympia,2,8.0C,1,2,0,1,1,2
22,3Pu,Olympia,2,8.0C,1,2,1,0,1,2
22,3Pu,Olympia,2,8.0C,1,2,1,0,0,1
22,3Pu,Olympia,2,8.0C,1,2,0,0,1,1
22,3Pu,Olympia,2,8.0C,1,3,1,1,1,3
22,3Pu,Olympia,2,8.0C,1,2,0,0,1,1
22,3Pu,Olympia,2,8.0C,1,3,0,0,1,1
22,3Pu,Olympia,2,8.0C,1,1,1,0,1,2
22,3Pu,Olympia,2,8.0C,1,2,0,0,1,1
22,3Pu,Olympia,2,8.0C,1,2,0,0,1,1
22,3Pu,Olympia,2,8.0C,1,2,0,0,1,1
22,3Pu,Olympia,2,8.0C,1,3,0,0,1,1
22,3Pu,Olympia,2,8.0C,1,1,0,1,0,1
22,3Pu,Olympia,2,8.0C,1,2,0,0,1,1
22,3Pu,Olympia,2,8.0C,1,3,1,0,1,2
22,3Pu,Olympia,2,8.0C,1,NA,NA,NA,NA,0
22,3Pu,Olympia,2,8.0C,1,3,0,0,1,1
22,3Pu,Olympia,2,8.0C,1,3,0,0,1,1
22,3Pu,Olympia,2,8.0C,1,3,0,0,1,1
22,3Pu,Olympia,2,8.0C,1,3,0,0,1,1
22,2Bl,Pacific,2,8.0C,1,2,0,0,1,1
22,2Bl,Pacific,2,8.0C,1,3,0,0,1,1
22,2Bl,Pacific,2,8.0C,1,3,0,0,1,1
22,2Bl,Pacific,2,8.0C,1,1,0,0,1,1
22,2Bl,Pacific,2,8.0C,1,3,0,0,1,1
22,2Bl,Pacific,2,8.0C,1,2,1,0,1,2
22,2Bl,Pacific,2,8.0C,1,3,0,1,1,2
22,2Bl,Pacific,2,8.0C,1,3,0,1,1,2
22,2Bl,Pacific,2,8.0C,1,3,0,0,1,1
22,2Bl,Pacific,2,8.0C,1,3,0,0,1,1
22,2Bl,Pacific,2,8.0C,1,1,1,1,0,2
22,2Bl,Pacific,2,8.0C,1,1,1,0,0,1
22,2Bl,Pacific,2,8.0C,1,3,0,1,1,2
22,2Bl,Pacific,2,8.0C,1,3,1,0,1,2
22,2Bl,Pacific,2,8.0C,1,2,0,0,1,1
22,2Bl,Pacific,2,8.0C,1,3,0,0,1,1
22,2Bl,Pacific,2,8.0C,1,3,0,0,1,1
22,2Bl,Pacific,2,8.0C,1,2,0,0,0,0
22,2Bl,Pacific,2,8.0C,1,1,1,0,0,1
22,2Bl,Pacific,2,8.0C,1,2,0,0,1,1
22,2Bl,Pacific,2,8.0C,1,2,0,0,1,1
22,2Bl,Pacific,2,8.0C,1,2,0,0,1,1
22,2Bl,Pacific,2,8.0C,1,3,1,0,1,2
22,2Bl,Pacific,2,8.0C,1,3,0,0,0,0
22,3Pi,Pacific,2,8.0C,1,2,0,0,1,1
22,3Pi,Pacific,2,8.0C,1,2,0,0,1,1
22,3Pi,Pacific,2,8.0C,1,NA,NA,NA,NA,0
22,3Pi,Pacific,2,8.0C,1,2,0,0,1,1
22,3Pi,Pacific,2,8.0C,1,1,1,0,1,2
22,3Pi,Pacific,2,8.0C,1,2,1,0,1,2
22,3Pi,Pacific,2,8.0C,1,1,0,0,0,0
22,3Pi,Pacific,2,8.0C,1,3,0,0,1,1
22,3Pi,Pacific,2,8.0C,1,3,0,0,1,1
22,3Pi,Pacific,2,8.0C,1,3,0,0,1,1
22,3Pi,Pacific,2,8.0C,1,2,1,0,1,2
22,3Pi,Pacific,2,8.0C,1,1,0,0,0,0
22,3Pi,Pacific,2,8.0C,1,2,0,0,0,0
22,3Pi,Pacific,2,8.0C,1,2,0,0,0,0
22,3Pi,Pacific,2,8.0C,1,2,0,0,0,0
22,3Pi,Pacific,2,8.0C,1,3,0,0,1,1
22,3Pi,Pacific,2,8.0C,1,3,0,0,1,1
22,3Pi,Pacific,2,8.0C,1,2,0,0,1,1
22,3Pi,Pacific,2,8.0C,1,3,0,0,1,1
22,1Pu,Pacific,2,8.0C,1,3,0,1,1,2
22,1Pu,Pacific,2,8.0C,1,NA,NA,NA,NA,0
22,1Pu,Pacific,2,8.0C,1,1,0,1,1,2
22,1Pu,Pacific,2,8.0C,1,1,0,0,1,1
22,1Pu,Pacific,2,8.0C,1,2,0,0,0,0
22,1Pu,Pacific,2,8.0C,1,2,0,0,1,1
22,1Pu,Pacific,2,8.0C,1,NA,NA,NA,NA,0
22,1Pu,Pacific,2,8.0C,1,1,0,0,0,0
22,1Pu,Pacific,2,8.0C,1,3,0,0,1,1
22,1Pu,Pacific,2,8.0C,1,3,0,0,1,1
22,1Pu,Pacific,2,8.0C,1,3,0,0,1,1
22,1Pu,Pacific,2,8.0C,1,2,0,0,1,1
22,1Pu,Pacific,2,8.0C,1,1,0,0,0,0
22,1Pu,Pacific,2,8.0C,1,3,0,0,1,1
22,1Pu,Pacific,2,8.0C,1,2,1,0,1,2
2,1Bc,Olympia,2,8.0C,3,3,0,0,1,1
2,1Bc,Olympia,2,8.0C,3,3,0,1,1,2
2,1Bc,Olympia,2,8.0C,3,3,0,0,1,1
2,1Bc,Olympia,2,8.0C,3,2,0,0,1,1
2,1Bc,Olympia,2,8.0C,3,3,1,0,1,2
2,1Bc,Olympia,2,8.0C,3,2,0,0,1,1
2,1Bc,Olympia,2,8.0C,3,1,1,0,0,1
2,1Bc,Olympia,2,8.0C,3,2,0,1,0,1
2,1Bc,Olympia,2,8.0C,3,NA,NA,NA,NA,0
2,1Bc,Olympia,2,8.0C,3,3,0,0,1,1
2,1Bc,Olympia,2,8.0C,3,3,0,0,1,1
2,1Bc,Olympia,2,8.0C,3,3,0,0,1,1
2,1Bc,Olympia,2,8.0C,3,NA,NA,NA,NA,0
2,1Bc,Olympia,2,8.0C,3,2,0,0,1,1
2,1Bc,Olympia,2,8.0C,3,NA,NA,NA,NA,0
2,1Bc,Olympia,2,8.0C,3,3,0,0,1,1
2,1Bc,Olympia,2,8.0C,3,NA,NA,NA,NA,0
2,1Bc,Olympia,2,8.0C,3,1,1,0,0,1
2,1Bc,Olympia,2,8.0C,3,3,0,0,1,1
2,1Bc,Olympia,2,8.0C,3,3,0,0,1,1
2,1Bc,Olympia,2,8.0C,3,3,1,1,1,3
2,1Bc,Olympia,2,8.0C,3,3,0,0,1,1
2,1Bc,Olympia,2,8.0C,3,3,0,0,1,1
2,1Bc,Olympia,2,8.0C,3,3,0,0,1,1
2,3Pi,Olympia,2,8.0C,3,NA,NA,NA,NA,0
2,3Pi,Olympia,2,8.0C,3,2,1,0,1,2
2,3Pi,Olympia,2,8.0C,3,2,1,0,1,2
2,3Pi,Olympia,2,8.0C,3,2,0,0,1,1
2,3Pi,Olympia,2,8.0C,3,1,0,0,1,1
2,3Pi,Olympia,2,8.0C,3,2,1,0,1,2
2,3Pi,Olympia,2,8.0C,3,2,0,0,1,1
2,3Pi,Olympia,2,8.0C,3,2,0,0,1,1
2,3Pi,Olympia,2,8.0C,3,1,0,0,0,0
2,3Pi,Olympia,2,8.0C,3,3,0,0,1,1
2,3Pi,Olympia,2,8.0C,3,3,0,0,1,1
2,3Pi,Olympia,2,8.0C,3,2,1,0,0,1
2,3Pi,Olympia,2,8.0C,3,1,1,0,0,1
2,3Pi,Olympia,2,8.0C,3,2,1,0,0,1
2,3Pi,Olympia,2,8.0C,3,3,0,0,1,1
2,3Pi,Olympia,2,8.0C,3,3,0,0,1,1
2,3Pi,Olympia,2,8.0C,3,3,0,0,1,1
2,3Pi,Olympia,2,8.0C,3,3,0,0,1,1
2,3Pi,Olympia,2,8.0C,3,3,0,0,1,1
2,3Pi,Olympia,2,8.0C,3,3,0,0,1,1
2,3Pi,Olympia,2,8.0C,3,3,0,0,1,1
55,2Bl,Olympia,2,7.7A0.2,3,2,0,1,1,2
55,2Bl,Olympia,2,7.7A0.2,3,3,0,0,1,1
55,2Bl,Olympia,2,7.7A0.2,3,NA,NA,NA,NA,0
55,2Bl,Olympia,2,7.7A0.2,3,3,0,0,1,1
55,2Bl,Olympia,2,7.7A0.2,3,3,0,0,1,1
55,2Bl,Olympia,2,7.7A0.2,3,3,0,0,1,1
55,2Bl,Olympia,2,7.7A0.2,3,3,0,0,1,1
55,2Bl,Olympia,2,7.7A0.2,3,3,0,0,1,1
55,2Bl,Olympia,2,7.7A0.2,3,2,1,1,1,3
55,2Bl,Olympia,2,7.7A0.2,3,3,0,0,1,1
55,2Bl,Olympia,2,7.7A0.2,3,3,0,0,1,1
55,2Bl,Olympia,2,7.7A0.2,3,3,0,1,1,2
55,2Bl,Olympia,2,7.7A0.2,3,3,0,0,1,1
55,2Bl,Olympia,2,7.7A0.2,3,NA,NA,NA,NA,0
55,2Bl,Olympia,2,7.7A0.2,3,3,0,0,1,1
55,2Bl,Olympia,2,7.7A0.2,3,3,0,0,1,1
55,2Bl,Olympia,2,7.7A0.2,3,3,0,0,1,1
55,2Bl,Olympia,2,7.7A0.2,3,3,0,0,1,1
55,2Bl,Olympia,2,7.7A0.2,3,3,0,0,1,1
55,2Bl,Olympia,2,7.7A0.2,3,3,0,0,1,1
55,2Bl,Olympia,2,7.7A0.2,3,3,0,0,1,1
2,1O,Pacific,2,8.0C,3,3,0,0,1,1
2,1O,Pacific,2,8.0C,3,3,1,0,1,2
2,1O,Pacific,2,8.0C,3,3,0,0,1,1
2,1O,Pacific,2,8.0C,3,3,0,0,1,1
2,1O,Pacific,2,8.0C,3,2,0,1,1,2
2,1O,Pacific,2,8.0C,3,2,1,0,1,2
2,1O,Pacific,2,8.0C,3,2,0,1,1,2
2,1O,Pacific,2,8.0C,3,2,0,0,1,1
2,1O,Pacific,2,8.0C,3,3,0,0,1,1
2,1O,Pacific,2,8.0C,3,2,0,0,1,1
2,1O,Pacific,2,8.0C,3,2,0,0,1,1
2,1O,Pacific,2,8.0C,3,3,1,0,1,2
2,1O,Pacific,2,8.0C,3,2,1,1,1,3
2,1O,Pacific,2,8.0C,3,1,1,0,1,2
2,1O,Pacific,2,8.0C,3,3,0,0,1,1
2,1O,Pacific,2,8.0C,3,2,0,1,1,2
2,1O,Pacific,2,8.0C,3,2,0,0,1,1
2,1O,Pacific,2,8.0C,3,1,0,0,1,1
2,1O,Pacific,2,8.0C,3,2,1,0,1,2
2,1O,Pacific,2,8.0C,3,2,0,1,1,2
2,1O,Pacific,2,8.0C,3,2,0,0,1,1
2,1O,Pacific,2,8.0C,3,3,0,0,1,1
2,2Pu,Pacific,2,8.0C,3,3,0,0,1,1
2,2Pu,Pacific,2,8.0C,3,1,0,0,1,1
2,2Pu,Pacific,2,8.0C,3,2,1,0,1,2
2,2Pu,Pacific,2,8.0C,3,3,1,0,1,2
2,2Pu,Pacific,2,8.0C,3,2,0,0,1,1
2,2Pu,Pacific,2,8.0C,3,3,0,0,1,1
2,2Pu,Pacific,2,8.0C,3,2,0,0,1,1
2,2Pu,Pacific,2,8.0C,3,3,1,0,1,2
2,2Pu,Pacific,2,8.0C,3,2,0,1,1,2
2,2Pu,Pacific,2,8.0C,3,3,0,0,1,1
2,2Pu,Pacific,2,8.0C,3,1,1,0,1,2
2,2Pu,Pacific,2,8.0C,3,3,1,1,1,3
2,2Pu,Pacific,2,8.0C,3,3,1,1,1,3
2,2Pu,Pacific,2,8.0C,3,2,0,1,1,2
2,2Pu,Pacific,2,8.0C,3,3,0,1,1,2
2,2Pu,Pacific,2,8.0C,3,2,0,1,1,2
2,2Pu,Pacific,2,8.0C,3,3,0,0,1,1
2,2Pu,Pacific,2,8.0C,3,3,1,0,1,2
2,2Pu,Pacific,2,8.0C,3,3,0,0,1,1
51,2W,Pacific,2,8.0C,2,2,0,0,1,1
51,2W,Pacific,2,8.0C,2,3,0,0,1,1
51,2W,Pacific,2,8.0C,2,2,1,0,1,2
51,2W,Pacific,2,8.0C,2,1,0,0,0,0
51,2W,Pacific,2,8.0C,2,1,1,0,1,2
51,2W,Pacific,2,8.0C,2,1,1,0,1,2
51,2W,Pacific,2,8.0C,2,1,1,0,1,2
51,2W,Pacific,2,8.0C,2,1,0,0,0,0
51,2W,Pacific,2,8.0C,2,1,0,0,0,0
51,2W,Pacific,2,8.0C,2,1,1,0,1,2
51,2W,Pacific,2,8.0C,2,1,0,0,0,0
51,2W,Pacific,2,8.0C,2,1,1,0,0,1
51,2W,Pacific,2,8.0C,2,2,1,0,1,2
51,2W,Pacific,2,8.0C,2,1,0,0,0,0
51,2W,Pacific,2,8.0C,2,1,1,0,1,2
51,2W,Pacific,2,8.0C,2,1,1,0,1,2
51,2W,Pacific,2,8.0C,2,1,1,0,1,2
51,2W,Pacific,2,8.0C,2,3,0,0,1,1
51,2W,Pacific,2,8.0C,2,3,0,1,1,2
51,2W,Pacific,2,8.0C,2,3,0,1,1,2
51,2W,Pacific,2,8.0C,2,3,0,0,1,1
51,3R,Pacific,2,8.0C,2,3,0,0,1,1
51,3R,Pacific,2,8.0C,2,3,0,0,1,1
51,3R,Pacific,2,8.0C,2,3,0,0,1,1
51,3R,Pacific,2,8.0C,2,3,0,0,1,1
51,3R,Pacific,2,8.0C,2,2,0,1,1,2
51,3R,Pacific,2,8.0C,2,3,0,0,1,1
51,3R,Pacific,2,8.0C,2,3,0,0,1,1
51,3R,Pacific,2,8.0C,2,3,1,0,1,2
51,3R,Pacific,2,8.0C,2,2,1,0,1,2
51,3R,Pacific,2,8.0C,2,2,0,0,1,1
51,3R,Pacific,2,8.0C,2,2,0,0,1,1
51,3R,Pacific,2,8.0C,2,2,0,0,1,1
51,3R,Pacific,2,8.0C,2,2,0,0,1,1
51,3R,Pacific,2,8.0C,2,3,0,0,1,1
51,3R,Pacific,2,8.0C,2,3,0,0,1,1
51,3R,Pacific,2,8.0C,2,2,0,0,1,1
51,3R,Pacific,2,8.0C,2,3,0,0,1,1
51,3R,Pacific,2,8.0C,2,2,1,0,1,2
51,3R,Pacific,2,8.0C,2,3,0,0,1,1
51,3R,Pacific,2,8.0C,2,2,1,0,1,2
51,3Gr,Olympia,2,8.0C,2,NA,NA,NA,NA,0
51,3Gr,Olympia,2,8.0C,2,2,0,0,1,1
51,3Gr,Olympia,2,8.0C,2,2,1,0,1,2
51,3Gr,Olympia,2,8.0C,2,3,0,0,1,1
51,3Gr,Olympia,2,8.0C,2,3,0,0,1,1
51,3Gr,Olympia,2,8.0C,2,2,1,0,1,2
51,3Gr,Olympia,2,8.0C,2,3,0,1,1,2
51,3Gr,Olympia,2,8.0C,2,2,0,1,1,2
51,3Gr,Olympia,2,8.0C,2,NA,NA,NA,NA,0
51,3Gr,Olympia,2,8.0C,2,2,0,1,1,2
51,3Gr,Olympia,2,8.0C,2,2,0,0,1,1
51,3Gr,Olympia,2,8.0C,2,2,1,0,1,2
51,3Gr,Olympia,2,8.0C,2,2,1,0,1,2
51,3Gr,Olympia,2,8.0C,2,NA,NA,NA,NA,0
51,3Gr,Olympia,2,8.0C,2,3,0,0,1,1
51,3Gr,Olympia,2,8.0C,2,3,0,0,1,1
51,3Gr,Olympia,2,8.0C,2,3,0,0,1,1
51,3Gr,Olympia,2,8.0C,2,2,1,1,1,3
51,3Gr,Olympia,2,8.0C,2,2,1,0,1,2
51,3Pu,Olympia,2,8.0C,2,3,0,0,1,1
51,3Pu,Olympia,2,8.0C,2,2,1,0,1,2
51,3Pu,Olympia,2,8.0C,2,NA,NA,NA,NA,0
51,3Pu,Olympia,2,8.0C,2,1,1,0,1,2
51,3Pu,Olympia,2,8.0C,2,1,0,1,0,1
51,3Pu,Olympia,2,8.0C,2,1,0,1,1,2
51,3Pu,Olympia,2,8.0C,2,1,0,0,1,1
51,3Pu,Olympia,2,8.0C,2,NA,NA,NA,NA,0
51,3Pu,Olympia,2,8.0C,2,2,1,0,1,2
51,3Pu,Olympia,2,8.0C,2,2,1,0,1,2
51,3Pu,Olympia,2,8.0C,2,1,1,0,0,1
51,3Pu,Olympia,2,8.0C,2,1,0,1,1,2
51,3Pu,Olympia,2,8.0C,2,1,0,1,1,2
51,3Pu,Olympia,2,8.0C,2,1,1,1,1,3
51,3Pu,Olympia,2,8.0C,2,3,0,0,1,1
51,3Pu,Olympia,2,8.0C,2,3,0,0,1,1
51,3Pu,Olympia,2,8.0C,2,NA,NA,NA,NA,0
51,3Pu,Olympia,2,8.0C,2,3,0,0,1,1
2,1R,Pacific,2,8.0C,4,1,0,0,1,1
2,1R,Pacific,2,8.0C,4,2,0,0,1,1
2,1R,Pacific,2,8.0C,4,3,0,0,1,1
2,1R,Pacific,2,8.0C,4,2,1,0,1,2
2,1R,Pacific,2,8.0C,4,1,0,0,0,0
2,1R,Pacific,2,8.0C,4,2,1,1,1,3
2,1R,Pacific,2,8.0C,4,2,1,0,1,2
2,1R,Pacific,2,8.0C,4,3,0,0,1,1
2,1R,Pacific,2,8.0C,4,1,0,0,1,1
2,1R,Pacific,2,8.0C,4,2,0,0,1,1
2,1R,Pacific,2,8.0C,4,2,1,1,1,3
2,1R,Pacific,2,8.0C,4,1,0,0,0,0
2,1R,Pacific,2,8.0C,4,2,0,1,1,2
2,1R,Pacific,2,8.0C,4,3,0,1,1,2
2,1R,Pacific,2,8.0C,4,3,0,1,1,2
2,1R,Pacific,2,8.0C,4,2,0,1,1,2
2,1R,Pacific,2,8.0C,4,3,0,0,1,1
2,1R,Pacific,2,8.0C,4,3,0,0,1,1
2,1R,Pacific,2,8.0C,4,3,0,0,1,1
2,1R,Pacific,2,8.0C,4,3,0,1,1,2
51,3Bl,Olympia,2,8.0C,2,2,0,1,1,2
51,3Bl,Olympia,2,8.0C,2,1,0,1,1,2
51,3Bl,Olympia,2,8.0C,2,1,0,0,1,1
51,3Bl,Olympia,2,8.0C,2,2,0,1,1,2
51,3Bl,Olympia,2,8.0C,2,1,1,0,1,2
51,3Bl,Olympia,2,8.0C,2,1,0,0,1,1
51,3Bl,Olympia,2,8.0C,2,1,0,0,1,1
51,3Bl,Olympia,2,8.0C,2,1,0,0,0,0
51,3Bl,Olympia,2,8.0C,2,2,1,0,1,2
51,3Bl,Olympia,2,8.0C,2,1,1,0,1,2
51,3Bl,Olympia,2,8.0C,2,2,0,1,1,2
51,3Bl,Olympia,2,8.0C,2,1,0,1,1,2
51,3Bl,Olympia,2,8.0C,2,1,0,1,1,2
51,3Bl,Olympia,2,8.0C,2,1,1,0,1,2
51,3Bl,Olympia,2,8.0C,2,1,1,0,1,2
51,3Bl,Olympia,2,8.0C,2,3,0,0,1,1
51,3Bl,Olympia,2,8.0C,2,3,0,0,1,1
51,3Bl,Olympia,2,8.0C,2,3,0,0,1,1
51,3Bl,Olympia,2,8.0C,2,3,0,0,1,1
51,2W,Pacific,2,8.0C,2,2,0,0,1,1
51,2W,Pacific,2,8.0C,2,3,0,0,1,1
51,2W,Pacific,2,8.0C,2,2,1,0,1,2
51,2W,Pacific,2,8.0C,2,1,0,0,0,0
51,2W,Pacific,2,8.0C,2,1,1,0,1,2
51,2W,Pacific,2,8.0C,2,1,1,0,1,2
51,2W,Pacific,2,8.0C,2,1,1,0,1,2
51,2W,Pacific,2,8.0C,2,1,0,0,0,0
51,2W,Pacific,2,8.0C,2,1,0,0,0,0
51,2W,Pacific,2,8.0C,2,1,1,0,1,2
51,2W,Pacific,2,8.0C,2,1,0,0,0,0
51,2W,Pacific,2,8.0C,2,1,1,0,0,1
51,2W,Pacific,2,8.0C,2,2,1,0,1,2
51,2W,Pacific,2,8.0C,2,1,0,0,0,0
51,2W,Pacific,2,8.0C,2,1,1,0,1,2
51,2W,Pacific,2,8.0C,2,1,1,0,1,2
51,2W,Pacific,2,8.0C,2,1,1,0,1,2
51,2W,Pacific,2,8.0C,2,3,0,0,1,1
51,2W,Pacific,2,8.0C,2,3,0,1,1,2
51,2W,Pacific,2,8.0C,2,3,0,0,1,1
51,2W,Pacific,2,8.0C,2,3,0,0,1,1
51,1R,Pacific,2,8.0C,2,2,0,0,1,1
51,1R,Pacific,2,8.0C,2,2,0,0,1,1
51,1R,Pacific,2,8.0C,2,2,1,0,1,2
51,1R,Pacific,2,8.0C,2,2,1,0,1,2
51,1R,Pacific,2,8.0C,2,2,1,0,1,2
51,1R,Pacific,2,8.0C,2,1,1,0,0,1
51,1R,Pacific,2,8.0C,2,1,0,0,0,0
51,1R,Pacific,2,8.0C,2,2,1,0,1,2
51,1R,Pacific,2,8.0C,2,2,1,0,1,2
51,1R,Pacific,2,8.0C,2,1,0,0,1,1
51,1R,Pacific,2,8.0C,2,2,0,1,1,2
51,1R,Pacific,2,8.0C,2,2,0,0,1,1
51,1R,Pacific,2,8.0C,2,2,1,0,1,2
51,1R,Pacific,2,8.0C,2,2,0,0,1,1
5,1Or,Olympia,2,8.0A0.2,3,3,0,0,1,1
5,1Or,Olympia,2,8.0A0.2,3,3,0,0,1,1
5,1Or,Olympia,2,8.0A0.2,3,3,0,0,1,1
5,1Or,Olympia,2,8.0A0.2,3,3,0,0,1,1
5,1Or,Olympia,2,8.0A0.2,3,3,0,0,1,1
5,1Or,Olympia,2,8.0A0.2,3,3,0,0,1,1
5,1Or,Olympia,2,8.0A0.2,3,3,0,0,1,1
5,1Or,Olympia,2,8.0A0.2,3,3,0,0,1,1
5,1Or,Olympia,2,8.0A0.2,3,3,0,0,1,1
5,1Or,Olympia,2,8.0A0.2,3,3,0,0,1,1
5,1Or,Olympia,2,8.0A0.2,3,3,0,0,1,1
5,1Or,Olympia,2,8.0A0.2,3,3,0,0,1,1
5,1Or,Olympia,2,8.0A0.2,3,3,0,0,1,1
5,1Or,Olympia,2,8.0A0.2,3,3,0,0,1,1
5,1Or,Olympia,2,8.0A0.2,3,3,0,0,1,1
5,1Pi,Olympia,2,8.0A0.2,3,3,0,0,1,1
5,1Pi,Olympia,2,8.0A0.2,3,2,0,1,1,2
