image_id,individual_id,initial/final,jar,length_cm,length_pixels,pixels_per_cm,replicate,species,treatment,week,width_cm,width_pixels
2019_08_08_0069,2Pu,final,54,1.21,95.52,78.78787879,3,Pacific,8.0C,2,1.43,112.49
2019_08_08_0069,2Rd,final,54,1.68,132.06,78.78787879,3,Pacific,8.0C,2,1.22,96.25
2019_08_08_0069,2Si,final,54,1.58,124.68,78.78787879,3,Pacific,8.0C,2,1.18,92.91
2019_08_08_0069,2Wh,final,54,1.62,128.02,78.78787879,3,Pacific,8.0C,2,1.13,89.04
2019_08_08_0069,3Or,final,54,1.75,138.2,78.78787879,3,Pacific,8.0C,2,1.06,83.67
2019_08_08_0069,3Pu,final,54,2,157.51,78.78787879,3,Pacific,8.0C,2,1.45,114.59
2019_08_08_0069,3Rd,final,54,1.79,141.01,78.78787879,3,Pacific,8.0C,2,1.51,119.08
2019_08_08_0069,3Si,final,54,2.02,159.53,78.78787879,3,Pacific,8.0C,2,1.42,111.81
2019_08_08_0091,1Rd,final,6,1.49,152.59,102.1428571,3,Olympia,7.7C,2,1.19,121.67
2019_08_08_0091,3Bl,final,6,1.53,156.03,102.1428571,3,Olympia,7.7C,2,1.21,123.99
2019_08_08_0106,1Pk,final,43,1.6,156.17,97.57575758,4,Olympia,7.7C,2,1.18,115
2019_08_08_0106,2Bl,final,43,1.5,145.89,97.57575758,4,Olympia,7.7C,2,1.13,110.49
2019_08_08_0067,2Gr,final,22,1.49,117.15,78.78787879,1,Pacific,8.0C,2,1.09,85.51
2019_08_08_0067,2Wh,final,22,1.53,120.57,78.78787879,1,Pacific,8.0C,2,1.37,108.24
2019_08_08_0077,3Rd,final,76,1.79,144.55,80.60606061,1,Pacific,7.7C,2,1.33,107.21
2019_08_08_0077,3Or,final,76,1.81,146.16,80.60606061,1,Pacific,7.7C,2,1.24,99.92
IMG_9963,1Bl,initial,76,1.55,137.84,88.66666667,1,Olympia,7.7C,2,1.4,124.35
IMG_9963,1Gr,initial,76,1.42,125.72,88.66666667,1,Olympia,7.7C,2,1.01,89.31
IMG_9963,1Or,initial,76,1.31,116.47,88.66666667,1,Olympia,7.7C,2,1.22,108.03
IMG_9963,1Pu,initial,76,1.63,144.85,88.66666667,1,Olympia,7.7C,2,1.14,100.65
IMG_9963,1Rd,initial,76,1.4,124.3,88.66666667,1,Olympia,7.7C,2,1.33,118.23
IMG_9963,1Si,initial,76,1.23,108.89,88.66666667,1,Olympia,7.7C,2,1.11,98.84
IMG_9963,1Wh,initial,76,1.62,144.06,88.66666667,1,Olympia,7.7C,2,1.27,112.76
IMG_9963,2Bl,initial,76,1.87,165.59,88.66666667,1,Olympia,7.7C,2,1.48,131.62
IMG_9963,2Gr,initial,76,1.88,166.82,88.66666667,1,Olympia,7.7C,2,1.36,120.67
IMG_9963,2Or,initial,76,1.82,161.44,88.66666667,1,Olympia,7.7C,2,1.27,112.89
IMG_9963,2Pu,initial,76,1.81,160.13,88.66666667,1,Olympia,7.7C,2,1.27,112.86
IMG_9963,2Rd,initial,76,1.72,152.12,88.66666667,1,Olympia,7.7C,2,1.16,102.47
IMG_9963,2Si,initial,76,1.61,142.46,88.66666667,1,Olympia,7.7C,2,1.57,139.35
IMG_9963,2Wh,initial,76,1.51,133.81,88.66666667,1,Olympia,7.7C,2,1.4,124.19
IMG_9963,3Bl,initial,76,1.64,145.16,88.66666667,1,Olympia,7.7C,2,1.34,118.62
IMG_9963,3Gr,initial,76,2.12,187.68,88.66666667,1,Olympia,7.7C,2,1.45,128.57
IMG_9963,3Or,initial,76,1.89,167.8,88.66666667,1,Olympia,7.7C,2,1.95,172.89
IMG_9963,3Pu,initial,76,2.33,206.19,88.66666667,1,Olympia,7.7C,2,1.42,125.87
IMG_9963,3Rd,initial,76,1.8,159.39,88.66666667,1,Olympia,7.7C,2,1.67,148.33
IMG_9963,3Si,initial,76,1.95,172.83,88.66666667,1,Olympia,7.7C,2,1.34,119.23
IMG_9862,1Or,initial,20,1.07,96.33,89.66666667,2,Pacific,7.7C,2,1.01,90.55
IMG_9862,2Bk,initial,20,1.28,115.12,89.66666667,2,Pacific,7.7C,2,0.85,76.32
IMG_9862,1Rd,initial,20,1.26,112.65,89.66666667,2,Pacific,7.7C,2,0.99,88.84
IMG_9862,1Bk,initial,20,0.96,86.09,89.66666667,2,Pacific,7.7C,2,0.79,71.12
IMG_9862,1Wh,initial,20,1.2,107.94,89.66666667,2,Pacific,7.7C,2,0.72,64.85
IMG_9862,2Pu,initial,20,1.14,102.55,89.66666667,2,Pacific,7.7C,2,0.96,86.03
IMG_9862,3Bl,initial,20,1.74,155.8,89.66666667,2,Pacific,7.7C,2,1.1,98.6
IMG_9862,3Gr,initial,20,1.93,173.44,89.66666667,2,Pacific,7.7C,2,1.36,122.11
IMG_9862,2Or,initial,20,1.52,136.13,89.66666667,2,Pacific,7.7C,2,1.11,99.69
IMG_9862,1Bl,initial,20,1.07,96.1,89.66666667,2,Pacific,7.7C,2,0.87,77.88
IMG_9862,1Gr,initial,20,0.94,84.48,89.66666667,2,Pacific,7.7C,2,0.64,57.58
IMG_9862,1Pu,initial,20,0.91,81.57,89.66666667,2,Pacific,7.7C,2,0.72,65
IMG_9862,3Pk,initial,20,1.75,157.04,89.66666667,2,Pacific,7.7C,2,1.35,121.02
IMG_9862,2Pk,initial,20,1.17,104.85,89.66666667,2,Pacific,7.7C,2,1,89.4
IMG_9862,2Gr,initial,20,1.26,113.28,89.66666667,2,Pacific,7.7C,2,0.99,88.41
IMG_9862,1Pk,initial,20,1.04,93.54,89.66666667,2,Pacific,7.7C,2,0.78,69.72
IMG_9862,2Bl,initial,20,1.15,102.86,89.66666667,2,Pacific,7.7C,2,0.92,82.34
IMG_9862,2Rd,initial,20,1.33,119.2,89.66666667,2,Pacific,7.7C,2,1.01,90.61
IMG_9862,2Wh,initial,20,1.51,135.45,89.66666667,2,Pacific,7.7C,2,1.04,93.54
IMG_9862,3Pu,initial,20,1.67,149.65,89.66666667,2,Pacific,7.7C,2,1.29,116.11
IMG_9934,1Bl,initial,54,0.93,83.05,89,3,Pacific,8.0C,2,0.79,70.7
IMG_9934,1Gr,initial,54,0.92,81.86,89,3,Pacific,8.0C,2,0.89,79.63
IMG_9934,1Or,initial,54,1.11,98.67,89,3,Pacific,8.0C,2,0.72,64
IMG_9934,1Pu,initial,54,1.06,94.64,89,3,Pacific,8.0C,2,0.88,78.64
IMG_9934,1Rd,initial,54,1.1,97.8,89,3,Pacific,8.0C,2,0.83,73.76
IMG_9934,1Si,initial,54,1.27,113.18,89,3,Pacific,8.0C,2,1.02,90.87
IMG_9934,1Wh,initial,54,1.43,127,89,3,Pacific,8.0C,2,0.92,82.1
IMG_9934,2Bl,initial,54,1.4,124.31,89,3,Pacific,8.0C,2,1.18,105.12
IMG_9934,2Gr,initial,54,1.63,144.69,89,3,Pacific,8.0C,2,1.11,98.43
IMG_9934,2Or,initial,54,1.12,99.45,89,3,Pacific,8.0C,2,0.71,63.13
IMG_9934,2Pu,initial,54,1.32,117.41,89,3,Pacific,8.0C,2,1.15,102.59
IMG_9934,2Rd,initial,54,1.35,119.78,89,3,Pacific,8.0C,2,0.96,85.28
IMG_9934,2Si,initial,54,1.52,135.08,89,3,Pacific,8.0C,2,1.18,104.67
IMG_9934,2Wh,initial,54,1.56,138.73,89,3,Pacific,8.0C,2,1.14,101.1
IMG_9934,3Bl,initial,54,1.62,143.96,89,3,Pacific,8.0C,2,1.22,108.85
IMG_9934,3Gr,initial,54,2.08,185.44,89,3,Pacific,8.0C,2,1.44,127.81
IMG_9934,3Or,initial,54,1.69,150.3,89,3,Pacific,8.0C,2,1.08,95.77
IMG_9934,3Pu,initial,54,1.68,149.75,89,3,Pacific,8.0C,2,1.15,102.62
IMG_9934,3Rd,initial,54,1.71,151.79,89,3,Pacific,8.0C,2,1.33,118.18
IMG_9934,3Si,initial,54,2.13,189.84,89,3,Pacific,8.0C,2,1.13,100.42
IMG_9909,1Bk,initial,43,0.95,80.5,84.33333333,4,Pacific,7.7C,2,0.72,60.3
IMG_9909,1Bl,initial,43,0.97,81.79,84.33333333,4,Pacific,7.7C,2,0.75,63.29
IMG_9909,1Gr,initial,43,1.02,85.91,84.33333333,4,Pacific,7.7C,2,0.63,53.31
IMG_9909,1Or,initial,43,0.84,70.77,84.33333333,4,Pacific,7.7C,2,0.67,56.8
IMG_9909,1Pk,initial,43,1.13,94.92,84.33333333,4,Pacific,7.7C,2,0.69,58.05
IMG_9909,1Pu,initial,43,0.82,69.43,84.33333333,4,Pacific,7.7C,2,0.82,69.18
IMG_9909,1Rd,initial,43,0.87,73.11,84.33333333,4,Pacific,7.7C,2,0.74,62.43
IMG_9909,1Wh,initial,43,0.97,81.91,84.33333333,4,Pacific,7.7C,2,0.8,67.27
IMG_9909,2Bk,initial,43,1.21,102.18,84.33333333,4,Pacific,7.7C,2,0.96,81.22
IMG_9909,2Bl,initial,43,1.29,108.91,84.33333333,4,Pacific,7.7C,2,0.97,81.74
IMG_9909,2Gr,initial,43,1.03,86.82,84.33333333,4,Pacific,7.7C,2,0.91,76.66
IMG_9909,2Or,initial,43,1.61,135.37,84.33333333,4,Pacific,7.7C,2,1.06,89.14
IMG_9909,2Pk,initial,43,1.22,102.96,84.33333333,4,Pacific,7.7C,2,0.74,62.13
IMG_9909,2Pu,initial,43,0.97,81.88,84.33333333,4,Pacific,7.7C,2,0.8,67.68
IMG_9909,2Rd,initial,43,1.11,94.02,84.33333333,4,Pacific,7.7C,2,0.72,61.03
IMG_9909,2Wh,initial,43,1.62,136.37,84.33333333,4,Pacific,7.7C,2,1.11,94.02
IMG_9909,3Bl,initial,43,1.11,93.61,84.33333333,4,Pacific,7.7C,2,0.77,65.12
IMG_9909,3Gr,initial,43,1.21,102.08,84.33333333,4,Pacific,7.7C,2,0.98,82.46
IMG_9909,3Pk,initial,43,1.2,101.53,84.33333333,4,Pacific,7.7C,2,1.18,99.36
IMG_9909,3Pu,initial,43,1.17,98.81,84.33333333,4,Pacific,7.7C,2,0.9,76.03
IMG_9897,1Bk,initial,43,1.19,105.39,88.66666667,4,Olympia,7.7C,2,0.97,86.28
IMG_9897,1Bl,initial,43,1.65,146.37,88.66666667,4,Olympia,7.7C,2,1.26,112.04
IMG_9897,1Gr,initial,43,1.36,120.93,88.66666667,4,Olympia,7.7C,2,1.19,105.23
IMG_9897,1Or,initial,43,1.78,158.26,88.66666667,4,Olympia,7.7C,2,1.44,127.66
IMG_9897,1Pk,initial,43,1.89,167.92,88.66666667,4,Olympia,7.7C,2,1.4,124.46
IMG_9897,1Pu,initial,43,1.42,125.93,88.66666667,4,Olympia,7.7C,2,1.05,93.15
IMG_9897,1Rd,initial,43,1.33,117.83,88.66666667,4,Olympia,7.7C,2,0.93,82.28
IMG_9897,1Wh,initial,43,1.83,162.63,88.66666667,4,Olympia,7.7C,2,1.67,147.76
IMG_9897,2Bk,initial,43,1.45,128.27,88.66666667,4,Olympia,7.7C,2,1.16,103.08
IMG_9897,2Bl,initial,43,1.75,155.54,88.66666667,4,Olympia,7.7C,2,1.35,119.68
IMG_9897,2Gr,initial,43,1.41,125.32,88.66666667,4,Olympia,7.7C,2,1.13,100.5
IMG_9897,2Or,initial,43,1.97,174.98,88.66666667,4,Olympia,7.7C,2,1.69,149.81
IMG_9897,2Pk,initial,43,1.5,132.83,88.66666667,4,Olympia,7.7C,2,1.06,93.98
IMG_9897,2Pu,initial,43,1.27,112.95,88.66666667,4,Olympia,7.7C,2,0.92,81.32
IMG_9897,2Rd,initial,43,1.27,112.36,88.66666667,4,Olympia,7.7C,2,1.36,120.27
IMG_9897,2Wh,initial,43,1.67,147.65,88.66666667,4,Olympia,7.7C,2,1.31,116.08
IMG_9897,3Bl,initial,43,1.68,148.69,88.66666667,4,Olympia,7.7C,2,1.28,113.81
IMG_9897,3Gr,initial,43,2.05,182.18,88.66666667,4,Olympia,7.7C,2,1.47,130.31
IMG_9897,3Pk,initial,43,1.46,129.42,88.66666667,4,Olympia,7.7C,2,1.28,113.07
IMG_9897,3Pu,initial,43,1.71,151.4,88.66666667,4,Olympia,7.7C,2,1.14,100.66
IMG_9869,3Bl,initial,22,1.67,148.38,89,1,Pacific,8.0C,2,1.47,131.03
IMG_9869,3Pu,initial,22,1.72,153.32,89,1,Pacific,8.0C,2,1.32,117.64
IMG_9869,2Bl,initial,22,1.27,112.79,89,1,Pacific,8.0C,2,0.91,80.65
IMG_9869,1Bl,initial,22,0.96,85.15,89,1,Pacific,8.0C,2,0.73,65.37
IMG_9869,2Bk,initial,22,1.39,123.79,89,1,Pacific,8.0C,2,1.07,94.92
IMG_9869,1Wh,initial,22,0.98,87.32,89,1,Pacific,8.0C,2,0.78,69.29
IMG_9869,2Pu,initial,22,1.52,135.6,89,1,Pacific,8.0C,2,1.03,92.09
IMG_9869,1Pu,initial,22,0.95,84.17,89,1,Pacific,8.0C,2,0.67,59.51
IMG_9869,1Bk,initial,22,0.96,85.76,89,1,Pacific,8.0C,2,0.71,63.25
IMG_9869,2Pk,initial,22,1.65,146.75,89,1,Pacific,8.0C,2,1.22,108.71
IMG_9869,2Wh,initial,22,1.5,133.42,89,1,Pacific,8.0C,2,1.28,113.7
IMG_9869,3Pk,initial,22,1.7,150.99,89,1,Pacific,8.0C,2,1.17,104.02
IMG_9869,3Gr,initial,22,1.53,136.21,89,1,Pacific,8.0C,2,1.01,90.14
IMG_9869,1Pk,initial,22,1.17,103.83,89,1,Pacific,8.0C,2,0.64,57.14
IMG_9869,2Rd,initial,22,1.88,167.03,89,1,Pacific,8.0C,2,1.29,114.87
IMG_9869,1Or,initial,22,1.17,103.81,89,1,Pacific,8.0C,2,0.7,61.91
IMG_9869,2Or,initial,22,1.62,143.99,89,1,Pacific,8.0C,2,1.16,103.32
IMG_9869,1Rd,initial,22,1.13,100.96,89,1,Pacific,8.0C,2,0.7,62.1
IMG_9899,1Bk,initial,38,1.3,115.42,89,5,Pacific,8.0C,2,1.11,98.49
IMG_9899,1Bl,initial,38,0.92,82.04,89,5,Pacific,8.0C,2,0.87,77.79
IMG_9899,1Gr,initial,38,0.98,87.46,89,5,Pacific,8.0C,2,0.51,45.8
IMG_9899,1Or,initial,38,1.35,120.07,89,5,Pacific,8.0C,2,0.92,81.61
IMG_9899,1Pk,initial,38,1.18,104.81,89,5,Pacific,8.0C,2,0.87,77.47
IMG_9899,1Pu,initial,38,1.05,93.47,89,5,Pacific,8.0C,2,0.73,64.9
IMG_9899,1Rd,initial,38,1.7,151.27,89,5,Pacific,8.0C,2,1.01,90.25
IMG_9899,1Wh,initial,38,1.29,114.73,89,5,Pacific,8.0C,2,0.86,76.9
IMG_9899,2Bk,initial,38,1.71,152.45,89,5,Pacific,8.0C,2,1.11,99.05
IMG_9899,2Bl,initial,38,1.39,123.65,89,5,Pacific,8.0C,2,0.97,86.31
IMG_9899,2Gr,initial,38,1.25,111.2,89,5,Pacific,8.0C,2,0.83,74.04
IMG_9899,2Or,initial,38,1.29,114.81,89,5,Pacific,8.0C,2,1,89.16
IMG_9899,2Pk,initial,38,1.57,140.04,89,5,Pacific,8.0C,2,1.13,100.17
IMG_9899,2Pu,initial,38,1.19,105.6,89,5,Pacific,8.0C,2,0.91,81.01
IMG_9899,2Rd,initial,38,1.42,126.65,89,5,Pacific,8.0C,2,0.93,82.46
IMG_9899,2Wh,initial,38,1.54,136.69,89,5,Pacific,8.0C,2,1.08,96.38
IMG_9899,3Bl,initial,38,1.71,152.01,89,5,Pacific,8.0C,2,1.08,96.18
IMG_9899,3Gr,initial,38,1.6,142.56,89,5,Pacific,8.0C,2,1.34,119.47
IMG_9899,3Pk,initial,38,1.39,124.04,89,5,Pacific,8.0C,2,1.03,92.05
IMG_9899,3Pu,initial,38,1.74,155.21,89,5,Pacific,8.0C,2,1.07,95.05
2019_08_08_0048,3Pu,final,38,1.83,137.2,75.15151515,5,Pacific,8.0C,2,1.13,84.97
2019_08_08_0048,2Rd,final,38,1.52,114.56,75.15151515,5,Pacific,8.0C,2,1.1,82.98
2019_08_08_0048,2Or,final,38,1.46,110.02,75.15151515,5,Pacific,8.0C,2,1.12,83.93
2019_08_08_0048,3Gr,final,38,2.1,157.56,75.15151515,5,Pacific,8.0C,2,1.62,122.09
